sensor,Depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Q
248353,11.5,1530635820,           2018-07-03 16:37:00,           2018-07-03 10:37:00,3.49,23.114,5.587679,102.846068,0.995
248353,11.5,1530637620,           2018-07-03 17:07:00,           2018-07-03 11:07:00,3.5,30.168,5.022725,105.902469,1.014
248353,11.5,1530639420,           2018-07-03 17:37:00,           2018-07-03 11:37:00,3.5,26.763,5.243706,103.65396,1
248353,11.5,1530641220,           2018-07-03 18:07:00,           2018-07-03 12:07:00,3.5,7.483,7.960481,103.495121,0.99
248353,11.5,1530643020,           2018-07-03 18:37:00,           2018-07-03 12:37:00,3.49,6.319,7.822485,98.747462,0.998
248353,11.5,1530644820,           2018-07-03 19:07:00,           2018-07-03 13:07:00,3.49,6.221,7.828484,98.575625,0.999
248353,11.5,1530646620,           2018-07-03 19:37:00,           2018-07-03 13:37:00,3.49,6.143,7.814485,98.202797,1
248353,11.5,1530648420,           2018-07-03 20:07:00,           2018-07-03 14:07:00,3.48,6.046,7.670494,96.153552,1
248353,11.5,1530650220,           2018-07-03 20:37:00,           2018-07-03 14:37:00,3.48,5.958,7.582499,94.835656,1
248353,11.5,1530652020,           2018-07-03 21:07:00,           2018-07-03 15:07:00,3.48,5.948,7.591498,94.923781,1.001
248353,11.5,1530653820,           2018-07-03 21:37:00,           2018-07-03 15:37:00,3.48,5.977,7.5755,94.794442,1
248353,11.5,1530655620,           2018-07-03 22:07:00,           2018-07-03 16:07:00,3.48,6.055,7.635496,95.736973,1
248353,11.5,1530657420,           2018-07-03 22:37:00,           2018-07-03 16:37:00,3.48,6.065,7.714491,96.752294,1
248353,11.5,1530659220,           2018-07-03 23:07:00,           2018-07-03 17:07:00,3.47,6.094,7.717491,96.862024,1
248353,11.5,1530661020,           2018-07-03 23:37:00,           2018-07-03 17:37:00,3.47,6.065,7.764488,97.379334,1
248353,11.5,1530662820,           2018-07-04 00:07:00,           2018-07-03 18:07:00,3.47,6.065,7.740489,97.078354,1.001
248353,11.5,1530664620,           2018-07-04 00:37:00,           2018-07-03 18:37:00,3.47,6.104,7.741489,97.188174,1
248353,11.5,1530666420,           2018-07-04 01:07:00,           2018-07-03 19:07:00,3.47,5.967,7.602498,95.107807,1
248353,11.5,1530668220,           2018-07-04 01:37:00,           2018-07-03 19:37:00,3.47,6.143,7.706492,96.845676,1
248353,11.5,1530670020,           2018-07-04 02:07:00,           2018-07-03 20:07:00,3.47,6.357,7.869482,99.437285,0.999
248353,11.5,1530671820,           2018-07-04 02:37:00,           2018-07-03 20:37:00,3.46,6.357,7.883481,99.614174,1
248353,11.5,1530673620,           2018-07-04 03:07:00,           2018-07-03 21:07:00,3.46,6.319,7.806486,98.545499,0.999
248353,11.5,1530675420,           2018-07-04 03:37:00,           2018-07-03 21:37:00,3.46,6.221,7.730491,97.341698,0.999
248353,11.5,1530677220,           2018-07-04 04:07:00,           2018-07-03 22:07:00,3.46,6.065,7.653495,95.987305,1
