sensor,Depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Q
245673,9,1530716820,           2018-07-04 15:07:00,           2018-07-04 09:07:00,3.44,6.633,7.848485,99.872286,0.984
245673,9,1530718620,           2018-07-04 15:37:00,           2018-07-04 09:37:00,3.44,6.652,7.863484,100.111512,0.984
245673,9,1530720420,           2018-07-04 16:07:00,           2018-07-04 10:07:00,3.44,6.778,7.899482,100.892185,0.984
245673,9,1530722220,           2018-07-04 16:37:00,           2018-07-04 10:37:00,3.44,6.662,7.831486,99.729494,0.983
245673,9,1530724020,           2018-07-04 17:07:00,           2018-07-04 11:07:00,3.44,6.546,7.771489,98.673759,0.982
245673,9,1530725820,           2018-07-04 17:37:00,           2018-07-04 11:37:00,3.43,6.546,7.799487,99.029249,0.983
245673,9,1530727620,           2018-07-04 18:07:00,           2018-07-04 12:07:00,3.43,6.623,7.831486,99.630627,0.982
245673,9,1530729420,           2018-07-04 18:37:00,           2018-07-04 12:37:00,3.43,6.662,7.877483,100.315239,0.983
245673,9,1530731220,           2018-07-04 19:07:00,           2018-07-04 13:07:00,3.43,6.633,7.886482,100.355806,0.983
245673,9,1530733020,           2018-07-04 19:37:00,           2018-07-04 13:37:00,3.43,6.652,7.892482,100.480692,0.983
245673,9,1530734820,           2018-07-04 20:07:00,           2018-07-04 14:07:00,3.43,6.71,7.899482,100.71816,0.983
245673,9,1530736620,           2018-07-04 20:37:00,           2018-07-04 14:37:00,3.43,6.681,7.893482,100.567535,0.983
245673,9,1530738420,           2018-07-04 21:07:00,           2018-07-04 15:07:00,3.43,6.739,7.92048,101.060294,0.983
245673,9,1530740220,           2018-07-04 21:37:00,           2018-07-04 15:37:00,3.43,6.749,7.953478,101.507092,0.983
245673,9,1530742020,           2018-07-04 22:07:00,           2018-07-04 16:07:00,3.43,6.912,7.989477,102.388714,0.984
245673,9,1530743820,           2018-07-04 22:37:00,           2018-07-04 16:37:00,3.43,6.594,7.91248,100.58677,0.982
245673,9,1530745620,           2018-07-04 23:07:00,           2018-07-04 17:07:00,3.42,6.478,7.811486,99.009844,0.984
245673,9,1530747420,           2018-07-04 23:37:00,           2018-07-04 17:37:00,3.43,6.594,7.841485,99.684248,0.984
245673,9,1530749220,           2018-07-05 00:07:00,           2018-07-04 18:07:00,3.43,6.797,7.93748,101.426365,0.983
245673,9,1530751020,           2018-07-05 00:37:00,           2018-07-04 18:37:00,3.43,6.739,7.92648,101.136845,0.983
245673,9,1530752820,           2018-07-05 01:07:00,           2018-07-04 19:07:00,3.43,6.623,7.846485,99.821442,0.983
245673,9,1530754620,           2018-07-05 01:37:00,           2018-07-04 19:37:00,3.43,6.594,7.835485,99.607978,0.983
245673,9,1530756420,           2018-07-05 02:07:00,           2018-07-04 20:07:00,3.43,6.614,7.842485,99.747715,0.983
245673,9,1530758220,           2018-07-05 02:37:00,           2018-07-04 20:37:00,3.43,6.71,7.859484,100.208195,0.983
245673,9,1530760020,           2018-07-05 03:07:00,           2018-07-04 21:07:00,3.43,6.739,7.901482,100.817882,0.983
245673,9,1530761820,           2018-07-05 03:37:00,           2018-07-04 21:37:00,3.43,6.797,7.92948,101.324146,0.982
245673,9,1530763620,           2018-07-05 04:07:00,           2018-07-04 22:07:00,3.43,6.585,7.843485,99.68683,0.983
245673,9,1530765420,           2018-07-05 04:37:00,           2018-07-04 22:37:00,3.43,6.546,7.809487,99.156209,0.983
245673,9,1530767220,           2018-07-05 05:07:00,           2018-07-04 23:07:00,3.42,6.72,7.864484,100.297413,0.983
245673,9,1530769020,           2018-07-05 05:37:00,           2018-07-04 23:37:00,3.42,6.594,7.822486,99.442727,0.983
245673,9,1530770820,           2018-07-05 06:07:00,           2018-07-05 00:07:00,3.42,6.594,7.808487,99.264765,0.983
245673,9,1530772620,           2018-07-05 06:37:00,           2018-07-05 00:37:00,3.42,6.671,7.822487,99.637685,0.983
245673,9,1530774420,           2018-07-05 07:07:00,           2018-07-05 01:07:00,3.42,6.72,7.845485,100.055118,0.984
245673,9,1530776220,           2018-07-05 07:37:00,           2018-07-05 01:37:00,3.42,6.7,7.849485,100.055282,0.983
245673,9,1530778020,           2018-07-05 08:07:00,           2018-07-05 02:07:00,3.42,6.758,7.886483,100.67505,0.984
245673,9,1530779820,           2018-07-05 08:37:00,           2018-07-05 02:37:00,3.42,6.72,7.862484,100.271908,0.983
245673,9,1530781620,           2018-07-05 09:07:00,           2018-07-05 03:07:00,3.42,6.468,7.75249,98.237014,0.984
245673,9,1530783420,           2018-07-05 09:37:00,           2018-07-05 03:37:00,3.42,6.643,7.777489,98.994042,0.983
245673,9,1530785220,           2018-07-05 10:07:00,           2018-07-05 04:07:00,3.42,6.691,7.836486,99.866745,0.983
245673,9,1530787020,           2018-07-05 10:37:00,           2018-07-05 04:37:00,3.43,6.72,7.852485,100.144385,0.983
245673,9,1530788820,           2018-07-05 11:07:00,           2018-07-05 05:07:00,3.42,6.778,7.843486,100.177,0.983
245673,9,1530790620,           2018-07-05 11:37:00,           2018-07-05 05:37:00,3.42,6.662,7.807487,99.423888,0.983
245673,9,1530792420,           2018-07-05 12:07:00,           2018-07-05 06:07:00,3.43,6.556,7.724492,98.10203,0.984
245673,9,1530794220,           2018-07-05 12:37:00,           2018-07-05 06:37:00,3.42,6.614,7.741492,98.463191,0.984
245673,9,1530796020,           2018-07-05 13:07:00,           2018-07-05 07:07:00,3.42,6.643,7.733492,98.434035,0.983
245673,9,1530797820,           2018-07-05 13:37:00,           2018-07-05 07:37:00,3.42,6.691,7.783489,99.191367,0.984
245673,9,1530799620,           2018-07-05 14:07:00,           2018-07-05 08:07:00,3.42,6.7,7.809487,99.545446,0.983
245673,9,1530801420,           2018-07-05 14:37:00,           2018-07-05 08:37:00,3.42,6.749,7.817487,99.771492,0.983
245673,9,1530803220,           2018-07-05 15:07:00,           2018-07-05 09:07:00,3.42,6.594,7.76949,98.769013,0.983
245673,9,1530805020,           2018-07-05 15:37:00,           2018-07-05 09:37:00,3.42,6.594,7.748491,98.50207,0.984
245673,9,1530806820,           2018-07-05 16:07:00,           2018-07-05 10:07:00,3.42,6.643,7.77149,98.917678,0.984
245673,9,1530808620,           2018-07-05 16:37:00,           2018-07-05 10:37:00,3.42,6.556,7.738492,98.27982,0.982
245673,9,1530810420,           2018-07-05 17:07:00,           2018-07-05 11:07:00,3.42,6.614,7.739492,98.437755,0.984
245673,9,1530812220,           2018-07-05 17:37:00,           2018-07-05 11:37:00,3.42,6.614,7.748491,98.552218,0.983
245673,9,1530814020,           2018-07-05 18:07:00,           2018-07-05 12:07:00,3.42,6.662,7.810487,99.462088,0.983
245673,9,1530815820,           2018-07-05 18:37:00,           2018-07-05 12:37:00,3.42,6.671,7.77449,99.026333,0.984
245673,9,1530817620,           2018-07-05 19:07:00,           2018-07-05 13:07:00,3.42,6.71,7.822487,99.736477,0.983
245673,9,1530819420,           2018-07-05 19:37:00,           2018-07-05 13:37:00,3.42,6.585,7.746491,98.454089,0.983
245673,9,1530821220,           2018-07-05 20:07:00,           2018-07-05 14:07:00,3.42,6.604,7.745491,98.488998,0.983
245673,9,1530823020,           2018-07-05 20:37:00,           2018-07-05 14:37:00,3.42,6.662,7.755491,98.761741,0.983
245673,9,1530824820,           2018-07-05 21:07:00,           2018-07-05 15:07:00,3.42,6.643,7.787489,99.121317,0.983
245673,9,1530826620,           2018-07-05 21:37:00,           2018-07-05 15:37:00,3.42,6.507,7.697494,97.637169,0.983
245673,9,1530828420,           2018-07-05 22:07:00,           2018-07-05 16:07:00,3.42,6.497,7.617499,96.597864,0.983
245673,9,1530830220,           2018-07-05 22:37:00,           2018-07-05 16:37:00,3.42,6.749,7.77549,99.235498,0.983
245673,9,1530832020,           2018-07-05 23:07:00,           2018-07-05 17:07:00,3.42,6.691,7.77149,99.038452,0.983
245673,9,1530833820,           2018-07-05 23:37:00,           2018-07-05 17:37:00,3.42,6.749,7.830486,99.937395,0.983
245673,9,1530835620,           2018-07-06 00:07:00,           2018-07-05 18:07:00,3.42,6.536,7.688495,97.59512,0.984
245673,9,1530837420,           2018-07-06 00:37:00,           2018-07-05 18:37:00,3.42,6.643,7.754491,98.701311,0.984
245673,9,1530839220,           2018-07-06 01:07:00,           2018-07-05 19:07:00,3.42,6.594,7.708494,97.993607,0.984
245673,9,1530841020,           2018-07-06 01:37:00,           2018-07-05 19:37:00,3.42,6.72,7.842485,100.016861,0.984
245673,9,1530842820,           2018-07-06 02:07:00,           2018-07-05 20:07:00,3.42,6.623,7.735492,98.409414,0.984
245673,9,1530844620,           2018-07-06 02:37:00,           2018-07-05 20:37:00,3.42,6.671,7.753491,98.758866,0.984
245673,9,1530846420,           2018-07-06 03:07:00,           2018-07-05 21:07:00,3.42,6.7,7.77449,99.09934,0.983
245673,9,1530848220,           2018-07-06 03:37:00,           2018-07-05 21:37:00,3.42,6.681,7.748491,98.720272,0.982
245673,9,1530850020,           2018-07-06 04:07:00,           2018-07-05 22:07:00,3.42,6.652,7.742492,98.571139,0.984
245673,9,1530851820,           2018-07-06 04:37:00,           2018-07-05 22:37:00,3.42,6.7,7.688495,98.003193,0.984
245673,9,1530853620,           2018-07-06 05:07:00,           2018-07-05 23:07:00,3.42,6.633,7.683495,97.772792,0.984
245673,9,1530855420,           2018-07-06 05:37:00,           2018-07-05 23:37:00,3.42,6.729,7.687496,98.062654,0.983
245673,9,1530857220,           2018-07-06 06:07:00,           2018-07-06 00:07:00,3.42,6.575,7.650497,97.209305,0.983
245673,9,1530859020,           2018-07-06 06:37:00,           2018-07-06 00:37:00,3.42,6.662,7.716493,98.265131,0.983
245673,9,1530860820,           2018-07-06 07:07:00,           2018-07-06 01:07:00,3.42,6.671,7.749491,98.70792,0.984
245673,9,1530862620,           2018-07-06 07:37:00,           2018-07-06 01:37:00,3.42,6.662,7.731492,98.456135,0.983
245673,9,1530864420,           2018-07-06 08:07:00,           2018-07-06 02:07:00,3.42,6.652,7.777489,99.016701,0.984
245673,9,1530866220,           2018-07-06 08:37:00,           2018-07-06 02:37:00,3.42,6.604,7.709494,98.031265,0.983
245673,9,1530868020,           2018-07-06 09:07:00,           2018-07-06 03:07:00,3.42,6.643,7.682496,97.784935,0.983
245673,9,1530869820,           2018-07-06 09:37:00,           2018-07-06 03:37:00,3.42,6.671,7.644498,97.370587,0.983
245673,9,1530871620,           2018-07-06 10:07:00,           2018-07-06 04:07:00,3.42,6.7,7.696495,98.10516,0.983
245673,9,1530873420,           2018-07-06 10:37:00,           2018-07-06 04:37:00,3.42,6.517,7.592501,96.329957,0.983
245673,9,1530875220,           2018-07-06 11:07:00,           2018-07-06 05:07:00,3.42,6.652,7.670496,97.654553,0.984
245673,9,1530877020,           2018-07-06 11:37:00,           2018-07-06 05:37:00,3.42,6.517,7.582502,96.203091,0.983
245673,9,1530878820,           2018-07-06 12:07:00,           2018-07-06 06:07:00,3.42,6.614,7.642498,97.204104,0.983
245673,9,1530880620,           2018-07-06 12:37:00,           2018-07-06 06:37:00,3.42,6.497,7.585501,96.192097,0.984
245673,9,1530882420,           2018-07-06 13:07:00,           2018-07-06 07:07:00,3.42,6.536,7.6075,96.567001,0.983
245673,9,1530884220,           2018-07-06 13:37:00,           2018-07-06 07:37:00,3.42,6.71,7.712494,98.334072,0.983
245673,9,1530886020,           2018-07-06 14:07:00,           2018-07-06 08:07:00,3.42,6.623,7.659497,97.442621,0.984
245673,9,1530887820,           2018-07-06 14:37:00,           2018-07-06 08:37:00,3.42,6.71,7.709494,98.295825,0.983
245673,9,1530889620,           2018-07-06 15:07:00,           2018-07-06 09:07:00,3.42,6.7,7.734492,98.589504,0.983
245673,9,1530891420,           2018-07-06 15:37:00,           2018-07-06 09:37:00,3.42,6.652,7.657497,97.489059,0.983
245673,9,1530893220,           2018-07-06 16:07:00,           2018-07-06 10:07:00,3.42,6.517,7.572502,96.076224,0.983
245673,9,1530895020,           2018-07-06 16:37:00,           2018-07-06 10:37:00,3.42,6.497,7.467509,94.695832,0.985
245673,9,1530896820,           2018-07-06 17:07:00,           2018-07-06 11:07:00,3.42,6.749,7.754491,98.9675,0.983
245673,9,1530898620,           2018-07-06 17:37:00,           2018-07-06 11:37:00,3.42,6.671,7.76749,98.937177,0.984
245673,9,1530900420,           2018-07-06 18:07:00,           2018-07-06 12:07:00,3.42,6.816,7.901482,101.015043,0.984
245673,9,1530902220,           2018-07-06 18:37:00,           2018-07-06 12:37:00,3.42,6.691,7.754491,98.821821,0.984
245673,9,1530904020,           2018-07-06 19:07:00,           2018-07-06 13:07:00,3.42,6.536,7.622499,96.757393,0.983
245673,9,1530905820,           2018-07-06 19:37:00,           2018-07-06 13:37:00,3.42,6.594,7.626499,96.951257,0.984
245673,9,1530907620,           2018-07-06 20:07:00,           2018-07-06 14:07:00,3.42,6.623,7.640498,97.200922,0.983
245673,9,1530909420,           2018-07-06 20:37:00,           2018-07-06 14:37:00,3.42,6.671,7.689495,97.94373,0.984
245673,9,1530911220,           2018-07-06 21:07:00,           2018-07-06 15:07:00,3.42,6.604,7.660497,97.408239,0.983
245673,9,1530913020,           2018-07-06 21:37:00,           2018-07-06 15:37:00,3.42,6.749,7.745492,98.852645,0.984
245673,9,1530914820,           2018-07-06 22:07:00,           2018-07-06 16:07:00,3.42,6.835,7.865484,100.603285,0.983
245673,9,1530916620,           2018-07-06 22:37:00,           2018-07-06 16:37:00,3.42,6.604,7.687495,97.751539,0.982
245673,9,1530918420,           2018-07-06 23:07:00,           2018-07-06 17:07:00,3.42,6.459,7.477508,94.730782,0.983
245673,9,1530920220,           2018-07-06 23:37:00,           2018-07-06 17:37:00,3.42,6.623,7.598501,96.666642,0.984
245673,9,1530922020,           2018-07-07 00:07:00,           2018-07-06 18:07:00,3.42,6.7,7.76649,98.997373,0.984
245673,9,1530923820,           2018-07-07 00:37:00,           2018-07-06 18:37:00,3.42,6.893,7.918481,101.430072,0.983
245673,9,1530925620,           2018-07-07 01:07:00,           2018-07-06 19:07:00,3.42,6.556,7.586501,96.349527,0.984
245673,9,1530927420,           2018-07-07 01:37:00,           2018-07-06 19:37:00,3.42,6.749,7.708494,98.380459,0.984
245673,9,1530929220,           2018-07-07 02:07:00,           2018-07-06 20:07:00,3.42,6.729,7.785489,99.312672,0.983
245673,9,1530931020,           2018-07-07 02:37:00,           2018-07-06 20:37:00,3.42,6.526,7.526505,95.514541,0.984
245673,9,1530932820,           2018-07-07 03:07:00,           2018-07-06 21:07:00,3.42,6.536,7.567503,96.059288,0.984
245673,9,1530934620,           2018-07-07 03:37:00,           2018-07-06 21:37:00,3.42,6.652,7.6215,97.030766,0.984
245673,9,1530936420,           2018-07-07 04:07:00,           2018-07-06 22:07:00,3.42,6.691,7.692495,98.031756,0.983
245673,9,1530938220,           2018-07-07 04:37:00,           2018-07-06 22:37:00,3.42,6.594,7.659497,97.370739,0.984
245673,9,1530940020,           2018-07-07 05:07:00,           2018-07-06 23:07:00,3.42,6.623,7.6155,96.882898,0.984
245673,9,1530941820,           2018-07-07 05:37:00,           2018-07-06 23:37:00,3.42,6.575,7.640498,97.08225,0.983
245673,9,1530943620,           2018-07-07 06:07:00,           2018-07-07 00:07:00,3.42,6.614,7.6165,96.873434,0.983
245673,9,1530945420,           2018-07-07 06:37:00,           2018-07-07 00:37:00,3.42,6.691,7.647498,97.458322,0.984
245673,9,1530947220,           2018-07-07 07:07:00,           2018-07-07 01:07:00,3.42,6.71,7.721493,98.448814,0.984
245673,9,1530949020,           2018-07-07 07:37:00,           2018-07-07 01:37:00,3.42,6.623,7.693495,97.875134,0.984
245673,9,1530950820,           2018-07-07 08:07:00,           2018-07-07 02:07:00,3.42,6.556,7.618499,96.755905,0.984
245673,9,1530952620,           2018-07-07 08:37:00,           2018-07-07 02:37:00,3.42,6.546,7.565503,96.058371,0.984
245673,9,1530954420,           2018-07-07 09:07:00,           2018-07-07 03:07:00,3.42,6.585,7.520506,95.581929,0.983
245673,9,1530956220,           2018-07-07 09:37:00,           2018-07-07 03:37:00,3.42,6.633,7.557504,96.169542,0.984
245673,9,1530958020,           2018-07-07 10:07:00,           2018-07-07 04:07:00,3.42,6.633,7.569503,96.322233,0.984
245673,9,1530959820,           2018-07-07 10:37:00,           2018-07-07 04:37:00,3.42,6.633,7.662497,97.505584,0.983
245673,9,1530961620,           2018-07-07 11:07:00,           2018-07-07 05:07:00,3.42,6.633,7.653497,97.391066,0.983
245673,9,1530963420,           2018-07-07 11:37:00,           2018-07-07 05:37:00,3.42,6.536,7.523506,95.500804,0.982
245673,9,1530965220,           2018-07-07 12:07:00,           2018-07-07 06:07:00,3.42,6.536,7.581502,96.236988,0.983
245673,9,1530967020,           2018-07-07 12:37:00,           2018-07-07 06:37:00,3.42,6.604,7.554504,96.060468,0.984
245673,9,1530968820,           2018-07-07 13:07:00,           2018-07-07 07:07:00,3.42,6.633,7.6155,96.907546,0.984
245673,9,1530970620,           2018-07-07 13:37:00,           2018-07-07 07:37:00,3.42,6.536,7.534505,95.640425,0.983
245673,9,1530972420,           2018-07-07 14:07:00,           2018-07-07 08:07:00,3.42,6.565,7.550504,95.914335,0.983
245673,9,1530974220,           2018-07-07 14:37:00,           2018-07-07 08:37:00,3.42,6.556,7.529505,95.625668,0.984
245673,9,1530976020,           2018-07-07 15:07:00,           2018-07-07 09:07:00,3.42,6.594,7.569503,96.226697,0.984
245673,9,1530977820,           2018-07-07 15:37:00,           2018-07-07 09:37:00,3.42,6.623,7.676496,97.658877,0.983
245673,9,1530979620,           2018-07-07 16:07:00,           2018-07-07 10:07:00,3.42,6.691,7.693495,98.044499,0.984
245673,9,1530981420,           2018-07-07 16:37:00,           2018-07-07 10:37:00,3.42,6.681,7.650498,97.471777,0.983
245673,9,1530983220,           2018-07-07 17:07:00,           2018-07-07 11:07:00,3.42,6.526,7.569502,96.060194,0.984
245673,9,1530985020,           2018-07-07 17:37:00,           2018-07-07 11:37:00,3.42,6.585,7.619499,96.840088,0.983
245673,9,1530986820,           2018-07-07 18:07:00,           2018-07-07 12:07:00,3.42,6.546,7.554504,95.918715,0.984
245673,9,1530988620,           2018-07-07 18:37:00,           2018-07-07 12:37:00,3.42,6.662,7.6095,96.902636,0.983
245673,9,1530990420,           2018-07-07 19:07:00,           2018-07-07 13:07:00,3.42,6.787,7.765491,99.203498,0.983
245673,9,1530992220,           2018-07-07 19:37:00,           2018-07-07 13:37:00,3.42,6.855,7.863485,100.628699,0.983
245673,9,1530994020,           2018-07-07 20:07:00,           2018-07-07 14:07:00,3.42,6.681,7.752491,98.771231,0.983
245673,9,1530995820,           2018-07-07 20:37:00,           2018-07-07 14:37:00,3.42,6.691,7.681496,97.891583,0.983
245673,9,1530997620,           2018-07-07 21:07:00,           2018-07-07 15:07:00,3.42,6.507,7.470509,94.758027,0.984
245673,9,1530999420,           2018-07-07 21:37:00,           2018-07-07 15:37:00,3.42,6.526,7.482508,94.9562,0.984
245673,9,1531001220,           2018-07-07 22:07:00,           2018-07-07 16:07:00,3.42,6.614,7.602501,96.695382,0.984
245673,9,1531003020,           2018-07-07 22:37:00,           2018-07-07 16:37:00,3.42,6.758,7.802488,99.602817,0.984
245673,9,1531004820,           2018-07-07 23:07:00,           2018-07-07 17:07:00,3.42,6.43,7.466509,94.521459,0.983
245673,9,1531006620,           2018-07-07 23:37:00,           2018-07-07 17:37:00,3.42,6.585,7.573502,96.255489,0.983
245673,9,1531008420,           2018-07-08 00:07:00,           2018-07-07 18:07:00,3.42,6.662,7.685495,97.870389,0.984
245673,9,1531010220,           2018-07-08 00:37:00,           2018-07-07 18:37:00,3.42,6.72,7.637499,97.402624,0.984
245673,9,1531012020,           2018-07-08 01:07:00,           2018-07-07 19:07:00,3.42,6.585,7.547504,95.925063,0.984
245673,9,1531013820,           2018-07-08 01:37:00,           2018-07-07 19:37:00,3.42,6.671,7.545505,96.109673,0.984
245673,9,1531015620,           2018-07-08 02:07:00,           2018-07-07 20:07:00,3.42,6.72,7.655498,97.632167,0.983
245673,9,1531017420,           2018-07-08 02:37:00,           2018-07-07 20:37:00,3.42,6.546,7.574502,96.172636,0.983
245673,9,1531019220,           2018-07-08 03:07:00,           2018-07-07 21:07:00,3.42,6.614,7.506507,95.474448,0.984
245673,9,1531021020,           2018-07-08 03:37:00,           2018-07-07 21:37:00,3.42,6.604,7.568503,96.238475,0.983
245673,9,1531022820,           2018-07-08 04:07:00,           2018-07-07 22:07:00,3.42,6.662,7.580502,96.533362,0.984
245673,9,1531024620,           2018-07-08 04:37:00,           2018-07-07 22:37:00,3.42,6.585,7.492508,95.226086,0.983
245673,9,1531026420,           2018-07-08 05:07:00,           2018-07-07 23:07:00,3.42,6.72,7.683496,97.989234,0.984
245673,9,1531028220,           2018-07-08 05:37:00,           2018-07-07 23:37:00,3.42,6.739,7.636499,97.436872,0.984
245673,9,1531030020,           2018-07-08 06:07:00,           2018-07-08 00:07:00,3.42,6.758,7.650498,97.662585,0.984
245673,9,1531031820,           2018-07-08 06:37:00,           2018-07-08 00:37:00,3.42,6.662,7.538505,95.998551,0.984
245673,9,1531033620,           2018-07-08 07:07:00,           2018-07-08 01:07:00,3.42,6.7,7.600501,96.881554,0.984
245673,9,1531035420,           2018-07-08 07:37:00,           2018-07-08 01:37:00,3.42,6.797,7.726493,98.73035,0.984
245673,9,1531037220,           2018-07-08 08:07:00,           2018-07-08 02:07:00,3.42,6.478,7.421512,94.066956,0.983
245673,9,1531039020,           2018-07-08 08:37:00,           2018-07-08 02:37:00,3.42,6.42,7.323518,92.687621,0.984
245673,9,1531040820,           2018-07-08 09:07:00,           2018-07-08 03:07:00,3.42,6.681,7.603501,96.87301,0.984
245673,9,1531042620,           2018-07-08 09:37:00,           2018-07-08 03:37:00,3.42,6.749,7.684496,98.074177,0.983
245673,9,1531044420,           2018-07-08 10:07:00,           2018-07-08 04:07:00,3.42,6.778,7.743492,98.899883,0.984
245673,9,1531046220,           2018-07-08 10:37:00,           2018-07-08 04:37:00,3.42,6.643,7.532505,95.875819,0.983
245673,9,1531048020,           2018-07-08 11:07:00,           2018-07-08 05:07:00,3.42,6.7,7.600501,96.881554,0.983
