            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1530722220,           2018-07-04 16:37:00,           2018-07-04 10:37:00,      3.430000,      6.173000,          7.536503,                    94.782360,      1.000000
                1530724020,           2018-07-04 17:07:00,           2018-07-04 11:07:00,      3.430000,      6.221000,          7.623498,                    95.994452,      1.000000
                1530725820,           2018-07-04 17:37:00,           2018-07-04 11:37:00,      3.430000,      6.173000,          7.540503,                    94.832663,      1.000000
                1530727620,           2018-07-04 18:07:00,           2018-07-04 12:07:00,      3.430000,      6.289000,          7.667495,                    96.716692,      0.999000
                1530729420,           2018-07-04 18:37:00,           2018-07-04 12:37:00,      3.430000,      6.357000,          7.735491,                    97.744198,      1.000000
                1530731220,           2018-07-04 19:07:00,           2018-07-04 13:07:00,      3.430000,      6.338000,          7.714492,                    97.431532,      0.998000
                1530733020,           2018-07-04 19:37:00,           2018-07-04 13:37:00,      3.430000,      6.241000,          7.612498,                    95.905065,      0.999000
                1530734820,           2018-07-04 20:07:00,           2018-07-04 14:07:00,      3.430000,      6.182000,          7.565501,                    95.169008,      1.000000
                1530736620,           2018-07-04 20:37:00,           2018-07-04 14:37:00,      3.430000,      6.192000,          7.539503,                    94.866280,      0.999000
                1530738420,           2018-07-04 21:07:00,           2018-07-04 15:07:00,      3.430000,      6.173000,          7.544503,                    94.882965,      0.999000
                1530740220,           2018-07-04 21:37:00,           2018-07-04 15:37:00,      3.430000,      6.173000,          7.527504,                    94.669180,      0.999000
                1530742020,           2018-07-04 22:07:00,           2018-07-04 16:07:00,      3.420000,      6.260000,          7.603499,                    95.838299,      0.999000
                1530743820,           2018-07-04 22:37:00,           2018-07-04 16:37:00,      3.420000,      6.241000,          7.645496,                    96.320784,      1.000000
                1530745620,           2018-07-04 23:07:00,           2018-07-04 17:07:00,      3.420000,      6.212000,          7.643496,                    96.224084,      1.000000
                1530747420,           2018-07-04 23:37:00,           2018-07-04 17:37:00,      3.420000,      6.241000,          7.645496,                    96.320784,      1.000000
                1530749220,           2018-07-05 00:07:00,           2018-07-04 18:07:00,      3.420000,      6.328000,          7.684494,                    97.027856,      0.999000
                1530751020,           2018-07-05 00:37:00,           2018-07-04 18:37:00,      3.420000,      6.377000,          7.719492,                    97.591900,      1.000000
                1530752820,           2018-07-05 01:07:00,           2018-07-04 19:07:00,      3.420000,      6.260000,          7.595500,                    95.737470,      0.999000
                1530754620,           2018-07-05 01:37:00,           2018-07-04 19:37:00,      3.420000,      6.260000,          7.591500,                    95.687055,      0.999000
                1530756420,           2018-07-05 02:07:00,           2018-07-04 20:07:00,      3.420000,      6.212000,          7.551502,                    95.065971,      0.999000
                1530758220,           2018-07-05 02:37:00,           2018-07-04 20:37:00,      3.420000,      6.182000,          7.515505,                    94.540083,      0.999000
                1530760020,           2018-07-05 03:07:00,           2018-07-04 21:07:00,      3.420000,      6.212000,          7.518504,                    94.650561,      0.999000
                1530761820,           2018-07-05 03:37:00,           2018-07-04 21:37:00,      3.420000,      6.221000,          7.614498,                    95.881132,      1.000000
                1530763620,           2018-07-05 04:07:00,           2018-07-04 22:07:00,      3.420000,      6.153000,          7.511505,                    94.419534,      0.999000
                1530765420,           2018-07-05 04:37:00,           2018-07-04 22:37:00,      3.420000,      6.221000,          7.542503,                    94.974573,      1.000000
                1530767220,           2018-07-05 05:07:00,           2018-07-04 23:07:00,      3.420000,      6.299000,          7.618498,                    96.123243,      1.000000
                1530769020,           2018-07-05 05:37:00,           2018-07-04 23:37:00,      3.420000,      6.241000,          7.568501,                    95.350773,      0.999000
                1530770820,           2018-07-05 06:07:00,           2018-07-05 00:07:00,      3.420000,      6.182000,          7.512505,                    94.502347,      1.000000
                1530772620,           2018-07-05 06:37:00,           2018-07-05 00:37:00,      3.420000,      6.182000,          7.510505,                    94.477190,      1.000000
                1530774420,           2018-07-05 07:07:00,           2018-07-05 01:07:00,      3.420000,      6.250000,          7.568501,                    95.372750,      1.000000
                1530776220,           2018-07-05 07:37:00,           2018-07-05 01:37:00,      3.420000,      6.221000,          7.500506,                    94.445748,      0.999000
                1530778020,           2018-07-05 08:07:00,           2018-07-05 02:07:00,      3.420000,      6.163000,          7.473507,                    93.966000,      0.998000
                1530779820,           2018-07-05 08:37:00,           2018-07-05 02:37:00,      3.420000,      6.231000,          7.515505,                    94.658858,      1.000000
                1530781620,           2018-07-05 09:07:00,           2018-07-05 03:07:00,      3.420000,      6.289000,          7.583501,                    95.657197,      0.999000
                1530783420,           2018-07-05 09:37:00,           2018-07-05 03:37:00,      3.420000,      6.319000,          7.624498,                    96.248165,      0.999000
                1530785220,           2018-07-05 10:07:00,           2018-07-05 04:07:00,      3.420000,      6.241000,          7.607499,                    95.842077,      0.999000
                1530787020,           2018-07-05 10:37:00,           2018-07-05 04:37:00,      3.420000,      6.250000,          7.528504,                    94.868732,      0.999000
                1530788820,           2018-07-05 11:07:00,           2018-07-05 05:07:00,      3.420000,      6.250000,          7.520504,                    94.767929,      1.000000
                1530790620,           2018-07-05 11:37:00,           2018-07-05 05:37:00,      3.420000,      6.212000,          7.469508,                    94.033740,      0.999000
                1530792420,           2018-07-05 12:07:00,           2018-07-05 06:07:00,      3.420000,      6.221000,          7.488506,                    94.294655,      1.000000
                1530794220,           2018-07-05 12:37:00,           2018-07-05 06:37:00,      3.420000,      6.143000,          7.457508,                    93.716758,      0.999000
                1530796020,           2018-07-05 13:07:00,           2018-07-05 07:07:00,      3.420000,      6.182000,          7.428510,                    93.445752,      1.000000
                1530797820,           2018-07-05 13:37:00,           2018-07-05 07:37:00,      3.420000,      6.260000,          7.592500,                    95.699659,      0.999000
