C7 Logger Concatenated Data File
Logger:             7377-240115
Concatenation Date: 2018Aug22 11:32:49 MDT


            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,        Sensor,          Gain
                  (Second),                        (none),                        (none),        (Volt),       (deg C),        ( ppb),            ()
                1530636120,           2018-07-03 16:42:00,           2018-07-03 10:42:00,      3.040000,     30.191000,      2.596495,           100
                1530637920,           2018-07-03 17:12:00,           2018-07-03 11:12:00,      3.060000,     24.821000,      7.056909,           100
                1530639720,           2018-07-03 17:42:00,           2018-07-03 11:42:00,      3.050000,     24.238000,      5.237932,           100
                1530641520,           2018-07-03 18:12:00,           2018-07-03 12:12:00,      3.030000,     10.331000,     48.379810,            10
                1530643320,           2018-07-03 18:42:00,           2018-07-03 12:42:00,      3.040000,      7.357000,     43.238970,            10
                1530645120,           2018-07-03 19:12:00,           2018-07-03 13:12:00,      3.040000,      6.807000,     44.752210,            10
                1530646920,           2018-07-03 19:42:00,           2018-07-03 13:42:00,      3.040000,      6.622000,     46.207870,            10
                1530648720,           2018-07-03 20:12:00,           2018-07-03 14:12:00,      3.040000,      6.632000,     45.379750,            10
                1530650520,           2018-07-03 20:42:00,           2018-07-03 14:42:00,      3.040000,      6.583000,     43.597180,            10
                1530652320,           2018-07-03 21:12:00,           2018-07-03 15:12:00,      3.050000,      6.641000,     41.063540,            10
                1530654120,           2018-07-03 21:42:00,           2018-07-03 15:42:00,      3.050000,      6.622000,     43.322530,            10
                1530655920,           2018-07-03 22:12:00,           2018-07-03 16:12:00,      3.050000,      6.573000,     40.083040,            10
                1530657720,           2018-07-03 22:42:00,           2018-07-03 16:42:00,      3.050000,      6.661000,     40.528090,            10
                1530659520,           2018-07-03 23:12:00,           2018-07-03 17:12:00,      3.050000,      6.661000,     39.776400,            10
                1530661320,           2018-07-03 23:42:00,           2018-07-03 17:42:00,      3.050000,      6.622000,     43.813270,            10
                1530663120,           2018-07-04 00:12:00,           2018-07-03 18:12:00,      3.050000,      6.612000,     43.203970,            10
                1530664920,           2018-07-04 00:42:00,           2018-07-03 18:42:00,      3.050000,      6.524000,     43.270410,            10
                1530666720,           2018-07-04 01:12:00,           2018-07-03 19:12:00,      3.050000,      6.573000,     41.618070,            10
                1530668520,           2018-07-04 01:42:00,           2018-07-03 19:42:00,      3.050000,      6.544000,     40.891740,            10
                1530670320,           2018-07-04 02:12:00,           2018-07-03 20:12:00,      3.050000,      6.651000,     40.303400,            10
                1530672120,           2018-07-04 02:42:00,           2018-07-03 20:42:00,      3.050000,      6.602000,     40.706460,            10
                1530673920,           2018-07-04 03:12:00,           2018-07-03 21:12:00,      3.050000,      6.641000,     39.033580,            10
                1530675720,           2018-07-04 03:42:00,           2018-07-03 21:42:00,      3.050000,      6.690000,     39.235630,            10
                1530677520,           2018-07-04 04:12:00,           2018-07-03 22:12:00,      3.050000,      6.524000,     42.394920,            10
                1530679320,           2018-07-04 04:42:00,           2018-07-03 22:42:00,      3.050000,      6.505000,     44.541280,            10
                1530681120,           2018-07-04 05:12:00,           2018-07-03 23:12:00,      3.050000,      6.602000,     43.479380,            10
                1530682920,           2018-07-04 05:42:00,           2018-07-03 23:42:00,      3.050000,      6.632000,     42.040490,            10
                1530684720,           2018-07-04 06:12:00,           2018-07-04 00:12:00,      3.050000,      6.622000,     40.857860,            10
                1530686520,           2018-07-04 06:42:00,           2018-07-04 00:42:00,      3.060000,      6.680000,     41.496440,            10
                1530688320,           2018-07-04 07:12:00,           2018-07-04 01:12:00,      3.060000,      6.768000,     40.321350,            10
                1530690120,           2018-07-04 07:42:00,           2018-07-04 01:42:00,      3.050000,      6.748000,     44.319670,            10
                1530691920,           2018-07-04 08:12:00,           2018-07-04 02:12:00,      3.060000,      6.661000,     45.501800,            10
                1530693720,           2018-07-04 08:42:00,           2018-07-04 02:42:00,      3.050000,      6.524000,     42.717210,            10
                1530695520,           2018-07-04 09:12:00,           2018-07-04 03:12:00,      3.060000,      6.573000,     42.998000,            10
                1530697320,           2018-07-04 09:42:00,           2018-07-04 03:42:00,      3.060000,      6.573000,     40.796510,            10
                1530699120,           2018-07-04 10:12:00,           2018-07-04 04:12:00,      3.060000,      6.602000,     40.642180,            10
                1530700920,           2018-07-04 10:42:00,           2018-07-04 04:42:00,      3.060000,      6.632000,     43.723710,            10
                1530702720,           2018-07-04 11:12:00,           2018-07-04 05:12:00,      3.060000,      6.612000,     43.237580,            10
                1530704520,           2018-07-04 11:42:00,           2018-07-04 05:42:00,      3.070000,      6.563000,     44.071780,            10
                1530706320,           2018-07-04 12:12:00,           2018-07-04 06:12:00,      3.060000,      6.554000,     44.869510,            10
                1530708120,           2018-07-04 12:42:00,           2018-07-04 06:42:00,      3.060000,      6.554000,     41.993670,            10
                1530709920,           2018-07-04 13:12:00,           2018-07-04 07:12:00,      3.060000,      6.593000,     42.089670,            10
                1530711720,           2018-07-04 13:42:00,           2018-07-04 07:42:00,      3.060000,      6.671000,     41.121180,            10
                1530713520,           2018-07-04 14:12:00,           2018-07-04 08:12:00,      3.060000,      6.632000,     42.080730,            10
                1530715320,           2018-07-04 14:42:00,           2018-07-04 08:42:00,      3.060000,      6.622000,     44.290460,            10
                1530717120,           2018-07-04 15:12:00,           2018-07-04 09:12:00,      3.060000,      6.602000,     44.418530,            10
                1530718920,           2018-07-04 15:42:00,           2018-07-04 09:42:00,      3.060000,      6.612000,     44.416290,            10
                1530720720,           2018-07-04 16:12:00,           2018-07-04 10:12:00,      3.060000,      6.729000,     43.428170,            10
                1530722520,           2018-07-04 16:42:00,           2018-07-04 10:42:00,      3.060000,      6.651000,     45.715940,            10
                1530724320,           2018-07-04 17:12:00,           2018-07-04 11:12:00,      3.080000,      6.573000,     47.819130,            10
                1530726120,           2018-07-04 17:42:00,           2018-07-04 11:42:00,      3.060000,      6.573000,     47.457710,            10
                1530727920,           2018-07-04 18:12:00,           2018-07-04 12:12:00,      3.060000,      6.593000,     46.228270,            10
                1530729720,           2018-07-04 18:42:00,           2018-07-04 12:42:00,      3.060000,      6.612000,     46.833530,            10
                1530731520,           2018-07-04 19:12:00,           2018-07-04 13:12:00,      3.060000,      6.632000,     45.331400,            10
                1530733320,           2018-07-04 19:42:00,           2018-07-04 13:42:00,      3.060000,      6.632000,     43.026370,            10
                1530735120,           2018-07-04 20:12:00,           2018-07-04 14:12:00,      3.060000,      6.671000,     44.391910,            10
                1530736920,           2018-07-04 20:42:00,           2018-07-04 14:42:00,      3.060000,      6.612000,     43.614360,            10
                1530738720,           2018-07-04 21:12:00,           2018-07-04 15:12:00,      3.060000,      6.700000,     43.613460,            10
                1530740520,           2018-07-04 21:42:00,           2018-07-04 15:42:00,      3.060000,      6.729000,     41.906340,            10
                1530742320,           2018-07-04 22:12:00,           2018-07-04 16:12:00,      3.060000,      6.797000,     35.603420,            10
                1530744120,           2018-07-04 22:42:00,           2018-07-04 16:42:00,      3.060000,      6.855000,     41.655590,            10
                1530745920,           2018-07-04 23:12:00,           2018-07-04 17:12:00,      3.060000,      6.446000,     47.409290,            10
                1530747720,           2018-07-04 23:42:00,           2018-07-04 17:42:00,      3.060000,      6.515000,     44.393370,            10
                1530749520,           2018-07-05 00:12:00,           2018-07-04 18:12:00,      3.060000,      6.700000,     33.600000,            10
                1530751320,           2018-07-05 00:42:00,           2018-07-04 18:42:00,      3.060000,      6.710000,     37.996550,            10
                1530753120,           2018-07-05 01:12:00,           2018-07-04 19:12:00,      3.060000,      6.612000,     42.301990,            10
                1530754920,           2018-07-05 01:42:00,           2018-07-04 19:42:00,      3.060000,      6.544000,     42.272160,            10
                1530756720,           2018-07-05 02:12:00,           2018-07-04 20:12:00,      3.060000,      6.593000,     37.622000,            10
                1530758520,           2018-07-05 02:42:00,           2018-07-04 20:42:00,      3.060000,      6.651000,     37.022750,            10
                1530760320,           2018-07-05 03:12:00,           2018-07-04 21:12:00,      3.060000,      6.680000,     36.884070,            10
                1530762120,           2018-07-05 03:42:00,           2018-07-04 21:42:00,      3.060000,      6.748000,     35.421560,            10
                1530763920,           2018-07-05 04:12:00,           2018-07-04 22:12:00,      3.060000,      6.661000,     45.213260,            10
                1530765720,           2018-07-05 04:42:00,           2018-07-04 22:42:00,      3.060000,      6.583000,     43.144860,            10
                1530767520,           2018-07-05 05:12:00,           2018-07-04 23:12:00,      3.060000,      6.554000,     36.014440,            10
                1530769320,           2018-07-05 05:42:00,           2018-07-04 23:42:00,      3.060000,      6.573000,     41.104210,            10
                1530771120,           2018-07-05 06:12:00,           2018-07-05 00:12:00,      3.060000,      6.554000,     40.702330,            10
                1530772920,           2018-07-05 06:42:00,           2018-07-05 00:42:00,      3.090000,      6.622000,     38.101140,            10
                1530774720,           2018-07-05 07:12:00,           2018-07-05 01:12:00,      3.060000,      6.661000,     41.897470,            10
                1530776520,           2018-07-05 07:42:00,           2018-07-05 01:42:00,      3.060000,      6.641000,     38.612140,            10
                1530778320,           2018-07-05 08:12:00,           2018-07-05 02:12:00,      3.060000,      6.700000,     38.408340,            10
                1530780120,           2018-07-05 08:42:00,           2018-07-05 02:42:00,      3.060000,      6.680000,     40.254140,            10
                1530781920,           2018-07-05 09:12:00,           2018-07-05 03:12:00,      3.060000,      6.495000,     47.109010,            10
                1530783720,           2018-07-05 09:42:00,           2018-07-05 03:42:00,      3.060000,      6.622000,     39.586640,            10
                1530785520,           2018-07-05 10:12:00,           2018-07-05 04:12:00,      3.060000,      6.651000,     39.315140,            10
                1530787320,           2018-07-05 10:42:00,           2018-07-05 04:42:00,      3.060000,      6.700000,     38.980060,            10
                1530789120,           2018-07-05 11:12:00,           2018-07-05 05:12:00,      3.060000,      6.710000,     42.581600,            10
                1530790920,           2018-07-05 11:42:00,           2018-07-05 05:42:00,      3.060000,      6.602000,     42.750820,            10
