"","sensor","deployment","year","timestamp","depth","Temperature","C7_output","chlora","Gain","Battery"
"64",240115,"Summer2018",2018,2018-07-04 19:42:00,9,6.544,42.27216,3.60336,10,3.06
"65",240115,"Summer2018",2018,2018-07-04 20:12:00,9,6.593,37.622,0,10,3.06
"66",240115,"Summer2018",2018,2018-07-04 20:42:00,9,6.651,37.02275,0,10,3.06
"67",240115,"Summer2018",2018,2018-07-04 21:12:00,9,6.68,36.88407,0,10,3.06
"68",240115,"Summer2018",2018,2018-07-04 21:42:00,9,6.748,35.42156,0,10,3.06
"69",240115,"Summer2018",2018,2018-07-04 22:12:00,9,6.661,45.21326,6.54446,10,3.06
"70",240115,"Summer2018",2018,2018-07-04 22:42:00,9,6.583,43.14486,4.47606,10,3.06
"71",240115,"Summer2018",2018,2018-07-04 23:12:00,9,6.554,36.01444,0,10,3.06
"72",240115,"Summer2018",2018,2018-07-04 23:42:00,9,6.573,41.10421,2.43541,10,3.06
"73",240115,"Summer2018",2018,2018-07-05 00:12:00,9,6.554,40.70233,2.03353000000001,10,3.06
"74",240115,"Summer2018",2018,2018-07-05 00:42:00,9,6.622,38.10114,0,10,3.09
"75",240115,"Summer2018",2018,2018-07-05 01:12:00,9,6.661,41.89747,3.22867,10,3.06
"76",240115,"Summer2018",2018,2018-07-05 01:42:00,9,6.641,38.61214,0,10,3.06
"77",240115,"Summer2018",2018,2018-07-05 02:12:00,9,6.7,38.40834,0,10,3.06
"78",240115,"Summer2018",2018,2018-07-05 02:42:00,9,6.68,40.25414,1.58534,10,3.06
"79",240115,"Summer2018",2018,2018-07-05 03:12:00,9,6.495,47.10901,8.44021,10,3.06
"80",240115,"Summer2018",2018,2018-07-05 03:42:00,9,6.622,39.58664,0.917840000000005,10,3.06
"81",240115,"Summer2018",2018,2018-07-05 04:12:00,9,6.651,39.31514,0.646340000000002,10,3.06
"82",240115,"Summer2018",2018,2018-07-05 04:42:00,9,6.7,38.98006,0.311260000000004,10,3.06
"83",240115,"Summer2018",2018,2018-07-05 05:12:00,9,6.71,42.5816,3.9128,10,3.06
"84",240115,"Summer2018",2018,2018-07-05 05:42:00,9,6.602,42.75082,4.08202,10,3.06
"85",240115,"Summer2018",2018,2018-07-05 06:12:00,9,6.524,37.91215,0,10,3.06
"86",240115,"Summer2018",2018,2018-07-05 06:42:00,9,6.534,40.02386,1.35506,10,3.06
"87",240115,"Summer2018",2018,2018-07-05 07:12:00,9,6.563,42.67306,4.00426,10,3.06
"88",240115,"Summer2018",2018,2018-07-05 07:42:00,9,6.661,39.35119,0.682390000000005,10,3.06
"89",240115,"Summer2018",2018,2018-07-05 08:12:00,9,6.661,41.93771,3.26891000000001,10,3.06
"90",240115,"Summer2018",2018,2018-07-05 08:42:00,9,6.7,40.17359,1.50479,10,3.06
"91",240115,"Summer2018",2018,2018-07-05 09:12:00,9,6.651,44.28166,5.61286,10,3.06
"92",240115,"Summer2018",2018,2018-07-05 09:42:00,9,6.593,44.61157,5.94277,10,3.06
"93",240115,"Summer2018",2018,2018-07-05 10:12:00,9,6.583,45.14465,6.47585,10,3.06
"94",240115,"Summer2018",2018,2018-07-05 10:42:00,9,6.612,44.24239,5.57359,10,3.06
"95",240115,"Summer2018",2018,2018-07-05 11:12:00,9,6.593,46.20815,7.53935000000001,10,3.06
"96",240115,"Summer2018",2018,2018-07-05 11:42:00,9,6.612,43.80524,5.13644,10,3.06
"97",240115,"Summer2018",2018,2018-07-05 12:12:00,9,6.661,45.55267,6.88387,10,3.06
"98",240115,"Summer2018",2018,2018-07-05 12:42:00,9,6.573,46.14255,7.47375,10,3.06
"99",240115,"Summer2018",2018,2018-07-05 13:12:00,9,6.641,45.40658,6.73778,10,3.06
"100",240115,"Summer2018",2018,2018-07-05 13:42:00,9,6.583,45.99317,7.32437,10,3.06
"101",240115,"Summer2018",2018,2018-07-05 14:12:00,9,6.583,43.73866,5.06986000000001,10,3.06
"102",240115,"Summer2018",2018,2018-07-05 14:42:00,9,6.593,43.39939,4.73059,10,3.06
"103",240115,"Summer2018",2018,2018-07-05 15:12:00,9,6.641,46.96886,8.30006,10,3.06
"104",240115,"Summer2018",2018,2018-07-05 15:42:00,9,6.544,50.63705,11.96825,10,3.06
"105",240115,"Summer2018",2018,2018-07-05 16:12:00,9,6.554,50.71907,12.05027,10,3.06
"106",240115,"Summer2018",2018,2018-07-05 16:42:00,9,6.68,44.14039,5.47159,10,3.06
"107",240115,"Summer2018",2018,2018-07-05 17:12:00,9,6.612,42.91284,4.24404000000001,10,3.06
"108",240115,"Summer2018",2018,2018-07-05 17:42:00,9,6.71,40.16408,1.49528,10,3.06
"109",240115,"Summer2018",2018,2018-07-05 18:12:00,9,6.612,45.7638,7.09500000000001,10,3.06
"110",240115,"Summer2018",2018,2018-07-05 18:42:00,9,6.583,43.43879,4.76999,10,3.06
"111",240115,"Summer2018",2018,2018-07-05 19:12:00,9,6.505,42.22912,3.56032,10,3.06
"112",240115,"Summer2018",2018,2018-07-05 19:42:00,9,6.651,38.45816,0,10,3.06
"113",240115,"Summer2018",2018,2018-07-05 20:12:00,9,6.622,43.29137,4.62257,10,3.06
"114",240115,"Summer2018",2018,2018-07-05 20:42:00,9,6.641,34.83035,0,10,3.06
"115",240115,"Summer2018",2018,2018-07-05 21:12:00,9,6.622,46.30506,7.63626,10,3.07
"116",240115,"Summer2018",2018,2018-07-05 21:42:00,9,6.583,41.69912,3.03032,10,3.06
"117",240115,"Summer2018",2018,2018-07-05 22:12:00,9,6.593,38.45599,0,10,3.06
"118",240115,"Summer2018",2018,2018-07-05 22:42:00,9,6.671,39.61116,0.942360000000001,10,3.06
"119",240115,"Summer2018",2018,2018-07-05 23:12:00,9,6.583,41.94931,3.28051,10,3.06
"120",240115,"Summer2018",2018,2018-07-05 23:42:00,9,6.661,37.14907,0,10,3.06
"121",240115,"Summer2018",2018,2018-07-06 00:12:00,9,6.554,42.87944,4.21064000000001,10,3.06
"122",240115,"Summer2018",2018,2018-07-06 00:42:00,9,6.573,42.93233,4.26353,10,3.06
"123",240115,"Summer2018",2018,2018-07-06 01:12:00,9,6.583,40.06131,1.39251,10,3.06
"124",240115,"Summer2018",2018,2018-07-06 01:42:00,9,6.622,36.7843,0,10,3.06
"125",240115,"Summer2018",2018,2018-07-06 02:12:00,9,6.622,42.20439,3.53559,10,3.06
"126",240115,"Summer2018",2018,2018-07-06 02:42:00,9,6.544,39.74328,1.07448,10,3.06
"127",240115,"Summer2018",2018,2018-07-06 03:12:00,9,6.583,40.68207,2.01327000000001,10,3.06
"128",240115,"Summer2018",2018,2018-07-06 03:42:00,9,6.602,37.15808,0,10,3.06
"129",240115,"Summer2018",2018,2018-07-06 04:12:00,9,6.671,36.93207,0,10,3.06
"130",240115,"Summer2018",2018,2018-07-06 04:42:00,9,6.583,47.94335,9.27455,10,3.06
"131",240115,"Summer2018",2018,2018-07-06 05:12:00,9,6.719,39.09925,0.43045,10,3.06
"132",240115,"Summer2018",2018,2018-07-06 05:42:00,9,6.612,44.99835,6.32955,10,3.06
"133",240115,"Summer2018",2018,2018-07-06 06:12:00,9,6.641,43.29494,4.62614,10,3.06
"134",240115,"Summer2018",2018,2018-07-06 06:42:00,9,6.485,45.14206,6.47326,10,3.06
"135",240115,"Summer2018",2018,2018-07-06 07:12:00,9,6.475,44.02644,5.35764,10,3.06
"136",240115,"Summer2018",2018,2018-07-06 07:42:00,9,6.651,40.30459,1.63579,10,3.06
"137",240115,"Summer2018",2018,2018-07-06 08:12:00,9,6.593,40.86107,2.19227,10,3.06
"138",240115,"Summer2018",2018,2018-07-06 08:42:00,9,6.651,38.75306,0.0842600000000004,10,3.06
"139",240115,"Summer2018",2018,2018-07-06 09:12:00,9,6.671,44.17707,5.50827,10,3.06
"140",240115,"Summer2018",2018,2018-07-06 09:42:00,9,6.641,45.7557,7.0869,10,3.06
"141",240115,"Summer2018",2018,2018-07-06 10:12:00,9,6.563,49.74087,11.07207,10,3.06
"142",240115,"Summer2018",2018,2018-07-06 10:42:00,9,6.417,50.33697,11.66817,10,3.06
"143",240115,"Summer2018",2018,2018-07-06 11:12:00,9,6.758,42.54282,3.87402,10,3.06
"144",240115,"Summer2018",2018,2018-07-06 11:42:00,9,6.7,46.60178,7.93298,10,3.06
"145",240115,"Summer2018",2018,2018-07-06 12:12:00,9,6.816,43.70421,5.03541000000001,10,3.06
"146",240115,"Summer2018",2018,2018-07-06 12:42:00,9,6.68,46.50327,7.83447,10,3.06
"147",240115,"Summer2018",2018,2018-07-06 13:12:00,9,6.524,47.68981,9.02101,10,3.06
"148",240115,"Summer2018",2018,2018-07-06 13:42:00,9,6.524,45.67989,7.01109,10,3.06
"149",240115,"Summer2018",2018,2018-07-06 14:12:00,9,6.593,44.26349,5.59469,10,3.06
"150",240115,"Summer2018",2018,2018-07-06 14:42:00,9,6.573,40.25365,1.58485,10,3.06
"151",240115,"Summer2018",2018,2018-07-06 15:12:00,9,6.554,44.52766,5.85886,10,3.06
"152",240115,"Summer2018",2018,2018-07-06 15:42:00,9,6.671,37.32248,0,10,3.06
"153",240115,"Summer2018",2018,2018-07-06 16:12:00,9,6.816,34.21818,0,10,3.06
"154",240115,"Summer2018",2018,2018-07-06 16:42:00,9,6.739,48.13688,9.46808,10,3.06
"155",240115,"Summer2018",2018,2018-07-06 17:12:00,9,6.446,49.26662,10.59782,10,3.06
"156",240115,"Summer2018",2018,2018-07-06 17:42:00,9,6.456,37.52272,0,10,3.06
"157",240115,"Summer2018",2018,2018-07-06 18:12:00,9,6.661,37.46445,0,10,3.06
"158",240115,"Summer2018",2018,2018-07-06 18:42:00,9,6.797,16.64784,0,10,3.06
"159",240115,"Summer2018",2018,2018-07-06 19:12:00,9,6.583,39.70569,1.03689,10,3.06
"160",240115,"Summer2018",2018,2018-07-06 19:42:00,9,6.69,25.26816,0,10,3.06
"161",240115,"Summer2018",2018,2018-07-06 20:12:00,9,6.739,37.02653,0,10,3.06
"162",240115,"Summer2018",2018,2018-07-06 20:42:00,9,6.524,42.63302,3.96422,10,3.06
"163",240115,"Summer2018",2018,2018-07-06 21:12:00,9,6.495,45.28333,6.61453,10,3.06
"164",240115,"Summer2018",2018,2018-07-06 21:42:00,9,6.524,37.97853,0,10,3.06
"165",240115,"Summer2018",2018,2018-07-06 22:12:00,9,6.671,40.96412,2.29532,10,3.06
"166",240115,"Summer2018",2018,2018-07-06 22:42:00,9,6.554,40.98292,2.31412,10,3.06
"167",240115,"Summer2018",2018,2018-07-06 23:12:00,9,6.554,39.54682,0.878019999999999,10,3.06
"168",240115,"Summer2018",2018,2018-07-06 23:42:00,9,6.612,38.64044,0,10,3.06
"169",240115,"Summer2018",2018,2018-07-07 00:12:00,9,6.593,42.16177,3.49297,10,3.06
"170",240115,"Summer2018",2018,2018-07-07 00:42:00,9,6.602,39.50524,0.836440000000003,10,3.06
"171",240115,"Summer2018",2018,2018-07-07 01:12:00,9,6.641,40.58845,1.91965,10,3.05
"172",240115,"Summer2018",2018,2018-07-07 01:42:00,9,6.641,44.27579,5.60699,10,3.06
"173",240115,"Summer2018",2018,2018-07-07 02:12:00,9,6.544,43.28599,4.61719,10,3.07
"174",240115,"Summer2018",2018,2018-07-07 02:42:00,9,6.495,41.53193,2.86313000000001,10,3.06
"175",240115,"Summer2018",2018,2018-07-07 03:12:00,9,6.544,40.85339,2.18459,10,3.06
"176",240115,"Summer2018",2018,2018-07-07 03:42:00,9,6.612,39.34993,0.681130000000003,10,3.06
"177",240115,"Summer2018",2018,2018-07-07 04:12:00,9,6.593,39.80085,1.13205,10,3.06
"178",240115,"Summer2018",2018,2018-07-07 04:42:00,9,6.622,38.68445,0.0156500000000008,10,3.06
"179",240115,"Summer2018",2018,2018-07-07 05:12:00,9,6.593,43.06654,4.39774000000001,10,3.06
"180",240115,"Summer2018",2018,2018-07-07 05:42:00,9,6.505,43.0722,4.4034,10,3.06
"181",240115,"Summer2018",2018,2018-07-07 06:12:00,9,6.544,41.5619,2.8931,10,3.06
"182",240115,"Summer2018",2018,2018-07-07 06:42:00,9,6.544,41.91284,3.24404000000001,10,3.06
"183",240115,"Summer2018",2018,2018-07-07 07:12:00,9,6.632,41.59509,2.92629,10,3.06
"184",240115,"Summer2018",2018,2018-07-07 07:42:00,9,6.534,44.72678,6.05798,10,3.05
"185",240115,"Summer2018",2018,2018-07-07 08:12:00,9,6.524,40.38773,1.71893,10,3.05
"186",240115,"Summer2018",2018,2018-07-07 08:42:00,9,6.583,47.00721,8.33841,10,3.06
"187",240115,"Summer2018",2018,2018-07-07 09:12:00,9,6.515,41.19629,2.52749,10,3.06
"188",240115,"Summer2018",2018,2018-07-07 09:42:00,9,6.583,38.39332,0,10,3.06
"189",240115,"Summer2018",2018,2018-07-07 10:12:00,9,6.632,38.14201,0,10,3.06
"190",240115,"Summer2018",2018,2018-07-07 10:42:00,9,6.69,37.50322,0,10,3.06
"191",240115,"Summer2018",2018,2018-07-07 11:12:00,9,6.563,46.36458,7.69578,10,3.06
"192",240115,"Summer2018",2018,2018-07-07 11:42:00,9,6.544,44.84171,6.17291,10,3.06
"193",240115,"Summer2018",2018,2018-07-07 12:12:00,9,6.485,45.86092,7.19212,10,3.06
"194",240115,"Summer2018",2018,2018-07-07 12:42:00,9,6.563,43.1879,4.5191,10,3.06
"195",240115,"Summer2018",2018,2018-07-07 13:12:00,9,6.739,33.68112,0,10,3.06
"196",240115,"Summer2018",2018,2018-07-07 13:42:00,9,6.836,35.15285,0,10,3.06
"197",240115,"Summer2018",2018,2018-07-07 14:12:00,9,6.651,42.91193,4.24313,10,3.05
"198",240115,"Summer2018",2018,2018-07-07 14:42:00,9,6.671,44.03796,5.36916,10,3.06
"199",240115,"Summer2018",2018,2018-07-07 15:12:00,9,6.495,49.00798,10.33918,10,3.06
"200",240115,"Summer2018",2018,2018-07-07 15:42:00,9,6.456,47.58375,8.91495,10,3.06
"201",240115,"Summer2018",2018,2018-07-07 16:12:00,9,6.612,41.47603,2.80723,10,3.05
"202",240115,"Summer2018",2018,2018-07-07 16:42:00,9,6.748,38.17862,0,10,3.06
"203",240115,"Summer2018",2018,2018-07-07 17:12:00,9,6.612,49.46511,10.79631,10,3.05
"204",240115,"Summer2018",2018,2018-07-07 17:42:00,9,6.554,39.11679,0.447990000000004,10,3.06
"205",240115,"Summer2018",2018,2018-07-07 18:12:00,9,6.632,40.52613,1.85733,10,3.06
"206",240115,"Summer2018",2018,2018-07-07 18:42:00,9,6.661,36.69955,0,10,3.06
"207",240115,"Summer2018",2018,2018-07-07 19:12:00,9,6.573,39.56554,0.896740000000001,10,3.06
"208",240115,"Summer2018",2018,2018-07-07 19:42:00,9,6.612,37.57344,0,10,3.05
"209",240115,"Summer2018",2018,2018-07-07 20:12:00,9,6.651,24.45939,0,10,3.06
"210",240115,"Summer2018",2018,2018-07-07 20:42:00,9,6.651,41.59914,2.93034,10,3.06
"211",240115,"Summer2018",2018,2018-07-07 21:12:00,9,6.563,32.07517,0,10,3.06
"212",240115,"Summer2018",2018,2018-07-07 21:42:00,9,6.593,32.2986,0,10,3.05
"213",240115,"Summer2018",2018,2018-07-07 22:12:00,9,6.602,27.93063,0,10,3.05
"214",240115,"Summer2018",2018,2018-07-07 22:42:00,9,6.515,39.50336,0.834560000000003,10,3.06
"215",240115,"Summer2018",2018,2018-07-07 23:12:00,9,6.671,30.20107,0,10,3.05
"216",240115,"Summer2018",2018,2018-07-07 23:42:00,9,6.69,27.94369,0,10,3.06
"217",240115,"Summer2018",2018,2018-07-08 00:12:00,9,6.719,33.46167,0,10,3.05
"218",240115,"Summer2018",2018,2018-07-08 00:42:00,9,6.593,36.04567,0,10,3.06
"219",240115,"Summer2018",2018,2018-07-08 01:12:00,9,6.612,28.44016,0,10,3.05
"220",240115,"Summer2018",2018,2018-07-08 01:42:00,9,6.748,24.70084,0,10,3.06
"221",240115,"Summer2018",2018,2018-07-08 02:12:00,9,6.524,46.48769,7.81889,10,3.05
"222",240115,"Summer2018",2018,2018-07-08 02:42:00,9,6.417,45.43802,6.76922,10,3.05
"223",240115,"Summer2018",2018,2018-07-08 03:12:00,9,6.622,27.27793,0,10,3.05
"224",240115,"Summer2018",2018,2018-07-08 03:42:00,9,6.651,29.91176,0,10,3.05
"225",240115,"Summer2018",2018,2018-07-08 04:12:00,9,6.719,40.27,1.60120000000001,10,3.05
"226",240115,"Summer2018",2018,2018-07-08 04:42:00,9,6.593,36.81197,0,10,3.06
"227",240115,"Summer2018",2018,2018-07-08 05:12:00,9,6.602,32.69824,0,10,3.06
"228",240115,"Summer2018",2018,2018-07-08 05:42:00,9,6.583,32.1159,0,10,3.05
