Sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,PAR,Acceleration.X,Acceleration.Y,Acceleration.Z
695220,9,1530727620,           2018-07-04 18:07:00,           2018-07-04 12:07:00,3.48,6.426,28.73793,1.136,-0.065,0.232
695220,9,1530729420,           2018-07-04 18:37:00,           2018-07-04 12:37:00,3.47,6.524,11.8482,1.136,-0.064,0.225
695220,9,1530731220,           2018-07-04 19:07:00,           2018-07-04 13:07:00,3.47,6.515,7.86144,1.136,-0.073,0.287
695220,9,1530733020,           2018-07-04 19:37:00,           2018-07-04 13:37:00,3.47,6.515,5.2289,1.139,-0.117,0.255
695220,9,1530734820,           2018-07-04 20:07:00,           2018-07-04 14:07:00,3.47,6.554,8.81873,1.136,-0.093,0.254
695220,9,1530736620,           2018-07-04 20:37:00,           2018-07-04 14:37:00,3.47,6.515,9.40828,1.136,-0.097,0.246
695220,9,1530738420,           2018-07-04 21:07:00,           2018-07-04 15:07:00,3.47,6.602,26.4848,1.128,-0.116,0.259
695220,9,1530740220,           2018-07-04 21:37:00,           2018-07-04 15:37:00,3.47,6.602,10.68661,1.142,-0.097,0.255
695220,9,1530742020,           2018-07-04 22:07:00,           2018-07-04 16:07:00,3.47,6.68,6.72029,1.136,-0.119,0.249
695220,9,1530743820,           2018-07-04 22:37:00,           2018-07-04 16:37:00,3.47,6.651,9.27695,1.143,-0.084,0.224
695220,9,1530745620,           2018-07-04 23:07:00,           2018-07-04 17:07:00,3.47,6.289,12.75296,1.142,-0.076,0.222
695220,9,1530747420,           2018-07-04 23:37:00,           2018-07-04 17:37:00,3.47,6.417,1.82585,1.144,-0.09,0.024
695220,9,1530749220,           2018-07-05 00:07:00,           2018-07-04 18:07:00,3.47,6.612,2.48545,1.136,-0.084,0.232
695220,9,1530751020,           2018-07-05 00:37:00,           2018-07-04 18:37:00,3.47,6.612,2.00097,1.144,-0.082,0.224
695220,9,1530752820,           2018-07-05 01:07:00,           2018-07-04 19:07:00,3.47,6.475,1.34429,1.142,-0.087,0.233
695220,9,1530754620,           2018-07-05 01:37:00,           2018-07-04 19:37:00,3.47,6.446,1.52232,1.134,-0.087,0.247
695220,9,1530756420,           2018-07-05 02:07:00,           2018-07-04 20:07:00,3.47,6.475,0.13601,1.136,-0.087,0.238
695220,9,1530758220,           2018-07-05 02:37:00,           2018-07-04 20:37:00,3.47,6.534,-0.96429,1.136,-0.111,0.3
695220,9,1530760020,           2018-07-05 03:07:00,           2018-07-04 21:07:00,3.47,6.612,-0.43311,1.128,-0.087,0.24
695220,9,1530761820,           2018-07-05 03:37:00,           2018-07-04 21:37:00,3.47,6.661,-2.09962,1.142,-0.077,0.227
