Date,Year,ungravid,gravid,male,ephippia,neonates,infected,Julian,Month,EXCLUDE,TotalnNeo,TotalAll,fYear,julianall,group,fjulian,uninfected,secview,airtemp,windspd
1/19/15,2015,609,0,0,0,22,2,18,1,NA,611,633,2015,5493,1,5493,609,NA,-3,5
2/24/15,2015,374,1,0,0,0,2,54,2,NA,377,377,2015,5529,1,5529,375,NA,-6,10
3/23/15,2015,2,0,0,0,6,0,81,3,NA,2,8,2015,5556,1,5556,2,NA,5,5
4/2/15,2015,114,24,0,0,290,10,91,4,NA,148,438,2015,5566,1,5566,138,NA,NA,NA
5/5/15,2015,597,103,2,0,1624,0,124,5,NA,702,2326,2015,5599,1,5599,702,4.5,18,5
5/19/15,2015,1916,0,52,54,394,6,138,5,NA,2028,2422,2015,5613,1,5613,2022,5.7,13,6
6/2/15,2015,647,29,1,8,243,13,152,6,NA,698,941,2015,5627,1,5627,685,6,24,5
6/18/15,2015,218,115,10,0,247,19,168,6,NA,362,609,2015,5643,1,5643,343,4.3,28,7
6/30/15,2015,336,31,0,0,61,16,180,6,NA,383,444,2015,5655,1,5655,367,4.5,16,4
7/13/15,2015,0,0,0,0,4,0,193,7,NA,0,4,2015,5668,1,5668,0,4.6,25,5
7/27/15,2015,0,0,0,0,0,0,207,7,NA,0,0,2015,5682,1,5682,0,4.5,37,5
8/10/15,2015,0,0,0,0,0,0,221,8,NA,0,0,2015,5696,1,5696,0,3.7,25,2
8/26/15,2015,0,0,0,0,0,0,237,8,NA,0,0,2015,5712,1,5712,0,3,18,8
9/8/15,2015,0,0,0,0,0,0,250,9,NA,0,0,2015,5725,1,5725,0,3.5,24,8
9/21/15,2015,0,0,0,0,0,0,263,9,NA,0,0,2015,5738,1,5738,0,3.1,21,6
10/19/15,2015,0,0,0,0,0,0,291,10,NA,0,0,2015,5766,1,5766,0,4,14,6
11/9/15,2015,82,5,0,0,11,0,312,11,NA,87,98,2015,5787,1,5787,87,4.3,12,7
1/28/16,2016,394,10,0,0,50,1,27,1,NA,405,455,2016,5867,1,5867,404,NA,-5,9
3/8/16,2016,10,3,0,0,4,0,67,3,NA,13,17,2016,5907,1,5907,13,NA,11,4
4/25/16,2016,7,5,0,0,305,0,115,4,NA,12,317,2016,5955,1,5955,12,3,5,10
5/10/16,2016,448,38,0,0,623,4,130,5,NA,490,1113,2016,5970,1,5970,486,3.2,16,10
5/23/16,2016,308,88,0,25,96,22,143,5,NA,443,539,2016,5983,1,5983,421,4.9,25,8
6/6/16,2016,692,90,0,42,288,100,157,6,NA,924,1212,2016,5997,1,5997,824,5.3,17.5,12
6/20/16,2016,137,78,0,1,10,42,171,6,NA,258,268,2016,6011,1,6011,216,3.9,23,20
7/5/16,2016,158,8,0,0,1,5,186,7,NA,171,172,2016,6026,1,6026,166,3.9,29,6
7/20/16,2016,0,0,0,0,1,0,201,7,NA,0,1,2016,6041,1,6041,0,4.6,28,4
8/3/16,2016,1,5,0,1,1,0,215,8,NA,7,8,2016,6055,1,6055,7,3.7,24.5,0
8/29/16,2016,1,0,0,0,0,0,241,8,NA,1,1,2016,6081,1,6081,1,NA,28,7
9/26/16,2016,2,1,1,0,35,0,269,9,NA,4,39,2016,6109,1,6109,4,2.4,12,11
10/24/16,2016,150,13,0,0,43,0,297,10,NA,163,206,2016,6137,1,6137,163,2.6,4,5
1/16/17,2017,530,3,1,2,28,13,15,1,NA,549,577,2017,6220,1,6220,536,NA,-2,0
3/21/17,2017,268,13,0,0,0,14,79,3,NA,295,295,2017,6284,1,6284,281,NA,-2,8
5/3/17,2017,786,53,5,4,706,14,122,5,NA,862,1568,2017,6327,1,6327,848,4.5,12,10
5/30/17,2017,164,42,6,0,83,22,149,5,NA,234,317,2017,6354,1,6354,212,3.5,NA,12
6/27/17,2017,72,21,4,0,113,7,177,6,NA,104,217,2017,6382,1,6382,97,2.6,25,7
7/25/17,2017,0,0,0,0,0,0,205,7,NA,0,0,2017,6410,1,6410,0,2.8,25,10
8/22/17,2017,0,0,0,0,0,0,233,8,NA,0,0,2017,6438,1,6438,0,2.6,18,10
