 Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1530722220,           2018-07-04 16:37:00,           2018-07-04 10:37:00,      3.450000,      8.247000,          7.975484,                   105.682103,      1.007000
                1530724020,           2018-07-04 17:07:00,           2018-07-04 11:07:00,      3.450000,      8.313000,          7.990483,                   106.053826,      1.007000
                1530725820,           2018-07-04 17:37:00,           2018-07-04 11:37:00,      3.450000,      8.407000,          7.980484,                   106.167311,      1.007000
                1530727620,           2018-07-04 18:07:00,           2018-07-04 12:07:00,      3.450000,      8.453000,          7.985484,                   106.354447,      1.007000
                1530729420,           2018-07-04 18:37:00,           2018-07-04 12:37:00,      3.450000,      8.584000,          7.987484,                   106.724921,      1.007000
                1530731220,           2018-07-04 19:07:00,           2018-07-04 13:07:00,      3.450000,      8.650000,          7.993484,                   106.978580,      1.007000
                1530733020,           2018-07-04 19:37:00,           2018-07-04 13:37:00,      3.450000,      8.668000,          8.017483,                   107.347231,      1.007000
                1530734820,           2018-07-04 20:07:00,           2018-07-04 14:07:00,      3.450000,      8.724000,          8.040482,                   107.803326,      1.008000
                1530736620,           2018-07-04 20:37:00,           2018-07-04 14:37:00,      3.450000,      8.790000,          8.058481,                   108.219744,      1.008000
                1530738420,           2018-07-04 21:07:00,           2018-07-04 15:07:00,      3.450000,      9.031000,          8.033483,                   108.522177,      1.008000
                1530740220,           2018-07-04 21:37:00,           2018-07-04 15:37:00,      3.450000,      9.105000,          8.029484,                   108.664231,      1.008000
                1530742020,           2018-07-04 22:07:00,           2018-07-04 16:07:00,      3.450000,      9.217000,          8.023485,                   108.879807,      1.007000
                1530743820,           2018-07-04 22:37:00,           2018-07-04 16:37:00,      3.450000,      9.152000,          8.052483,                   109.100430,      1.008000
                1530745620,           2018-07-04 23:07:00,           2018-07-04 17:07:00,      3.450000,      9.170000,          8.062482,                   109.283835,      1.008000
                1530747420,           2018-07-04 23:37:00,           2018-07-04 17:37:00,      3.450000,      9.189000,          8.067482,                   109.402232,      1.008000
                1530749220,           2018-07-05 00:07:00,           2018-07-04 18:07:00,      3.450000,      9.161000,          8.094480,                   109.693495,      1.008000
                1530751020,           2018-07-05 00:37:00,           2018-07-04 18:37:00,      3.450000,      9.254000,          8.064482,                   109.534744,      1.007000
                1530752820,           2018-07-05 01:07:00,           2018-07-04 19:07:00,      3.450000,      9.254000,          8.090481,                   109.887863,      1.009000
                1530754620,           2018-07-05 01:37:00,           2018-07-04 19:37:00,      3.450000,      9.143000,          8.083481,                   109.496388,      1.007000
                1530756420,           2018-07-05 02:07:00,           2018-07-04 20:07:00,      3.450000,      9.152000,          8.105479,                   109.818463,      1.008000
                1530758220,           2018-07-05 02:37:00,           2018-07-04 20:37:00,      3.450000,      9.272000,          8.076482,                   109.745770,      1.008000
                1530760020,           2018-07-05 03:07:00,           2018-07-04 21:07:00,      3.450000,      9.346000,          8.034485,                   109.371670,      1.009000
                1530761820,           2018-07-05 03:37:00,           2018-07-04 21:37:00,      3.450000,      9.291000,          8.025485,                   109.103215,      1.008000
                1530763620,           2018-07-05 04:07:00,           2018-07-04 22:07:00,      3.450000,      9.281000,          8.030485,                   109.144637,      1.008000
                1530765420,           2018-07-05 04:37:00,           2018-07-04 22:37:00,      3.450000,      9.272000,          8.024485,                   109.039223,      1.009000
                1530767220,           2018-07-05 05:07:00,           2018-07-04 23:07:00,      3.450000,      9.217000,          8.025485,                   108.906946,      1.009000
                1530769020,           2018-07-05 05:37:00,           2018-07-04 23:37:00,      3.450000,      9.327000,          7.942491,                   108.069470,      1.008000
                1530770820,           2018-07-05 06:07:00,           2018-07-05 00:07:00,      3.450000,      9.272000,          7.952490,                   108.060927,      1.008000
                1530772620,           2018-07-05 06:37:00,           2018-07-05 00:37:00,      3.450000,      9.244000,          7.984487,                   108.421839,      1.009000
                1530774420,           2018-07-05 07:07:00,           2018-07-05 01:07:00,      3.450000,      9.170000,          7.976488,                   108.118213,      1.008000
                1530776220,           2018-07-05 07:37:00,           2018-07-05 01:37:00,      3.450000,      9.143000,          7.974488,                   108.020002,      1.009000
                1530778020,           2018-07-05 08:07:00,           2018-07-05 02:07:00,      3.450000,      9.207000,          7.921491,                   107.469571,      1.009000
                1530779820,           2018-07-05 08:37:00,           2018-07-05 02:37:00,      3.450000,      9.124000,          7.940490,                   107.509664,      1.010000
                1530781620,           2018-07-05 09:07:00,           2018-07-05 03:07:00,      3.450000,      9.031000,          7.915491,                   106.928249,      1.009000
                1530783420,           2018-07-05 09:37:00,           2018-07-05 03:37:00,      3.450000,      9.059000,          7.898492,                   106.771587,      1.008000
                1530785220,           2018-07-05 10:07:00,           2018-07-05 04:07:00,      3.450000,      9.013000,          7.896492,                   106.624710,      1.009000
                1530787020,           2018-07-05 10:37:00,           2018-07-05 04:37:00,      3.440000,      8.901000,          7.949488,                   107.046742,      1.009000
                1530788820,           2018-07-05 11:07:00,           2018-07-05 05:07:00,      3.440000,      8.920000,          7.907491,                   106.530733,      1.008000
                1530790620,           2018-07-05 11:37:00,           2018-07-05 05:37:00,      3.440000,      8.948000,          7.885493,                   106.307154,      1.010000
                1530792420,           2018-07-05 12:07:00,           2018-07-05 06:07:00,      3.440000,      8.920000,          7.866494,                   105.978411,      1.009000
                1530794220,           2018-07-05 12:37:00,           2018-07-05 06:37:00,      3.440000,      8.911000,          7.838495,                   105.577963,      1.009000
                1530796020,           2018-07-05 13:07:00,           2018-07-05 07:07:00,      3.440000,      8.892000,          7.889492,                   106.215441,      1.010000
                1530797820,           2018-07-05 13:37:00,           2018-07-05 07:37:00,      3.450000,      8.901000,          7.874493,                   106.036867,      1.009000
                1530799620,           2018-07-05 14:07:00,           2018-07-05 08:07:00,      3.440000,      8.901000,          7.921490,                   106.669722,      1.009000
                1530801420,           2018-07-05 14:37:00,           2018-07-05 08:37:00,      3.440000,      8.873000,          7.968487,                   107.229049,      1.008000
                1530803220,           2018-07-05 15:07:00,           2018-07-05 09:07:00,      3.440000,      8.976000,          7.951488,                   107.270280,      1.008000
                1530805020,           2018-07-05 15:37:00,           2018-07-05 09:37:00,      3.450000,      9.050000,          7.958488,                   107.558978,      1.009000
                1530806820,           2018-07-05 16:07:00,           2018-07-05 10:07:00,      3.450000,      9.105000,          7.961488,                   107.744036,      1.009000
                1530808620,           2018-07-05 16:37:00,           2018-07-05 10:37:00,      3.450000,      9.143000,          7.969488,                   107.952278,      1.009000
                1530810420,           2018-07-05 17:07:00,           2018-07-05 11:07:00,      3.440000,      9.180000,          7.951489,                   107.805632,      1.009000
                1530812220,           2018-07-05 17:37:00,           2018-07-05 11:37:00,      3.450000,      9.318000,          7.953490,                   108.195463,      1.009000
                1530814020,           2018-07-05 18:07:00,           2018-07-05 12:07:00,      3.450000,      9.346000,          7.976488,                   108.582179,      1.009000
                1530815820,           2018-07-05 18:37:00,           2018-07-05 12:37:00,      3.440000,      9.521000,          7.977489,                   109.057800,      1.009000
                1530817620,           2018-07-05 19:07:00,           2018-07-05 13:07:00,      3.440000,      9.512000,          7.998488,                   109.321028,      1.010000
                1530819420,           2018-07-05 19:37:00,           2018-07-05 13:37:00,      3.450000,      9.475000,          8.010487,                   109.386899,      1.009000
                1530821220,           2018-07-05 20:07:00,           2018-07-05 14:07:00,      3.450000,      9.300000,          8.017486,                   109.018319,      1.008000
                1530823020,           2018-07-05 20:37:00,           2018-07-05 14:37:00,      3.450000,      9.346000,          8.026485,                   109.262774,      1.009000
                1530824820,           2018-07-05 21:07:00,           2018-07-05 15:07:00,      3.450000,      9.447000,          8.056484,                   109.940341,      1.010000
                1530826620,           2018-07-05 21:37:00,           2018-07-05 15:37:00,      3.450000,      9.549000,          8.073483,                   110.444972,      1.010000
                1530828420,           2018-07-05 22:07:00,           2018-07-05 16:07:00,      3.450000,      9.631000,          8.018487,                   109.910479,      1.007000
                1530830220,           2018-07-05 22:37:00,           2018-07-05 16:37:00,      3.450000,      9.696000,          8.046485,                   110.467646,      1.010000
                1530832020,           2018-07-05 23:07:00,           2018-07-05 17:07:00,      3.440000,      9.687000,          8.058485,                   110.608330,      1.009000
                1530833820,           2018-07-05 23:37:00,           2018-07-05 17:37:00,      3.450000,      9.705000,          8.045486,                   110.477930,      1.008000
                1530835620,           2018-07-06 00:07:00,           2018-07-05 18:07:00,      3.450000,      9.650000,          8.069484,                   110.660318,      1.009000
                1530837420,           2018-07-06 00:37:00,           2018-07-05 18:37:00,      3.450000,      9.631000,          8.060484,                   110.486142,      1.009000
                1530839220,           2018-07-06 01:07:00,           2018-07-05 19:07:00,      3.450000,      9.760000,          8.056485,                   110.775944,      1.010000
                1530841020,           2018-07-06 01:37:00,           2018-07-05 19:37:00,      3.440000,      9.641000,          8.083483,                   110.828178,      1.009000
                1530842820,           2018-07-06 02:07:00,           2018-07-05 20:07:00,      3.450000,      9.622000,          8.107481,                   111.106153,      1.011000
                1530844620,           2018-07-06 02:37:00,           2018-07-05 20:37:00,      3.450000,      9.576000,          8.072483,                   110.503494,      1.009000
                1530846420,           2018-07-06 03:07:00,           2018-07-05 21:07:00,      3.450000,      9.521000,          8.080483,                   110.465791,      1.009000
                1530848220,           2018-07-06 03:37:00,           2018-07-05 21:37:00,      3.450000,      9.558000,          8.078483,                   110.537450,      1.010000
                1530850020,           2018-07-06 04:07:00,           2018-07-05 22:07:00,      3.450000,      9.631000,          8.060484,                   110.486142,      1.010000
                1530851820,           2018-07-06 04:37:00,           2018-07-05 22:37:00,      3.450000,      9.595000,          8.059484,                   110.376285,      1.010000
                1530853620,           2018-07-06 05:07:00,           2018-07-05 23:07:00,      3.450000,      9.438000,          8.071483,                   110.120979,      1.009000
