,sensor,deployment,year,Mountain.Standard.Time,Depth,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Battery,Q
110,214424,Summer2018,2018,           2018-07-05 17:07:00,1.5,9.687,8.058485,110.60833,3.44,1.009
111,214424,Summer2018,2018,           2018-07-05 17:37:00,1.5,9.705,8.045486,110.47793,3.45,1.008
112,214424,Summer2018,2018,           2018-07-05 18:07:00,1.5,9.65,8.069484,110.660318,3.45,1.009
113,214424,Summer2018,2018,           2018-07-05 18:37:00,1.5,9.631,8.060484,110.486142,3.45,1.009
114,214424,Summer2018,2018,           2018-07-05 19:07:00,1.5,9.76,8.056485,110.775944,3.45,1.01
115,214424,Summer2018,2018,           2018-07-05 19:37:00,1.5,9.641,8.083483,110.828178,3.44,1.009
116,214424,Summer2018,2018,           2018-07-05 20:07:00,1.5,9.622,8.107481,111.106153,3.45,1.011
117,214424,Summer2018,2018,           2018-07-05 20:37:00,1.5,9.576,8.072483,110.503494,3.45,1.009
118,214424,Summer2018,2018,           2018-07-05 21:07:00,1.5,9.521,8.080483,110.465791,3.45,1.009
119,214424,Summer2018,2018,           2018-07-05 21:37:00,1.5,9.558,8.078483,110.53745,3.45,1.01
120,214424,Summer2018,2018,           2018-07-05 22:07:00,1.5,9.631,8.060484,110.486142,3.45,1.01
121,214424,Summer2018,2018,           2018-07-05 22:37:00,1.5,9.595,8.059484,110.376285,3.45,1.01
122,214424,Summer2018,2018,           2018-07-05 23:07:00,1.5,9.438,8.071483,110.120979,3.45,1.009
123,214424,Summer2018,2018,           2018-07-05 23:37:00,1.5,9.226,8.069482,109.527989,3.45,1.009
124,214424,Summer2018,2018,           2018-07-06 00:07:00,1.5,9.318,8.080482,109.923,3.45,1.009
125,214424,Summer2018,2018,           2018-07-06 00:37:00,1.5,9.327,8.077482,109.90623,3.45,1.01
126,214424,Summer2018,2018,           2018-07-06 01:07:00,1.5,9.392,8.046484,109.657445,3.45,1.01
127,214424,Summer2018,2018,           2018-07-06 01:37:00,1.5,9.364,8.030485,109.36503,3.45,1.01
128,214424,Summer2018,2018,           2018-07-06 02:07:00,1.5,9.364,7.94849,108.248365,3.45,1.009
129,214424,Summer2018,2018,           2018-07-06 02:37:00,1.5,9.337,7.941491,108.082126,3.45,1.01
130,214424,Summer2018,2018,           2018-07-06 03:07:00,1.5,9.3,7.979488,108.501645,3.45,1.011
131,214424,Summer2018,2018,           2018-07-06 03:37:00,1.5,9.281,7.938491,107.894319,3.45,1.011
132,214424,Summer2018,2018,           2018-07-06 04:07:00,1.5,9.263,7.898493,107.30371,3.45,1.01
133,214424,Summer2018,2018,           2018-07-06 04:37:00,1.5,9.18,7.921491,107.39892,3.45,1.01
134,214424,Summer2018,2018,           2018-07-06 05:07:00,1.5,9.041,7.920491,107.02192,3.45,1.01
135,214424,Summer2018,2018,           2018-07-06 05:37:00,1.5,8.966,7.93349,107.001304,3.45,1.012
136,214424,Summer2018,2018,           2018-07-06 06:07:00,1.5,8.929,7.904491,106.51377,3.45,1.011
137,214424,Summer2018,2018,           2018-07-06 06:37:00,1.5,8.827,7.896491,106.140563,3.45,1.011
138,214424,Summer2018,2018,           2018-07-06 07:07:00,1.5,8.752,7.90749,106.093115,3.45,1.01
139,214424,Summer2018,2018,           2018-07-06 07:37:00,1.5,8.743,7.888491,105.814841,3.44,1.009
140,214424,Summer2018,2018,           2018-07-06 08:07:00,1.5,8.873,7.900491,106.314056,3.44,1.011
141,214424,Summer2018,2018,           2018-07-06 08:37:00,1.5,8.901,7.911491,106.535072,3.44,1.011
142,214424,Summer2018,2018,           2018-07-06 09:07:00,1.5,8.92,7.91549,106.638503,3.45,1.01
143,214424,Summer2018,2018,           2018-07-06 09:37:00,1.5,8.901,7.933489,106.831302,3.45,1.01
144,214424,Summer2018,2018,           2018-07-06 10:07:00,1.5,8.883,7.992485,107.578325,3.44,1.011
145,214424,Summer2018,2018,           2018-07-06 10:37:00,1.5,8.957,7.969487,107.463164,3.45,1.01
146,214424,Summer2018,2018,           2018-07-06 11:07:00,1.5,9.124,7.946489,107.590896,3.45,1.01
147,214424,Summer2018,2018,           2018-07-06 11:37:00,1.5,9.346,7.974489,108.554955,3.45,1.011
148,214424,Summer2018,2018,           2018-07-06 12:07:00,1.5,9.549,7.955491,108.830839,3.45,1.01
149,214424,Summer2018,2018,           2018-07-06 12:37:00,1.5,9.457,7.986488,109.011603,3.45,1.009
150,214424,Summer2018,2018,           2018-07-06 13:07:00,1.5,9.41,8.001487,109.091876,3.44,1.01
151,214424,Summer2018,2018,           2018-07-06 13:37:00,1.5,9.576,7.988489,109.353699,3.45,1.009
152,214424,Summer2018,2018,           2018-07-06 14:07:00,1.5,9.42,8.039485,109.636535,3.45,1.01
153,214424,Summer2018,2018,           2018-07-06 14:37:00,1.5,9.475,8.042485,109.823846,3.45,1.011
154,214424,Summer2018,2018,           2018-07-06 15:07:00,1.5,9.842,8.022488,110.526793,3.45,1.01
155,214424,Summer2018,2018,           2018-07-06 15:37:00,1.5,9.567,8.092482,110.753126,3.45,1.01
156,214424,Summer2018,2018,           2018-07-06 16:07:00,1.5,9.687,8.067484,110.731854,3.45,1.01
157,214424,Summer2018,2018,           2018-07-06 16:37:00,1.5,9.696,8.065484,110.728474,3.45,1.01
158,214424,Summer2018,2018,           2018-07-06 17:07:00,1.5,9.769,8.082484,111.157553,3.45,1.011
159,214424,Summer2018,2018,           2018-07-06 17:37:00,1.5,9.567,8.093482,110.766811,3.45,1.01
160,214424,Summer2018,2018,           2018-07-06 18:07:00,1.5,9.484,8.11148,110.790181,3.44,1.011
161,214424,Summer2018,2018,           2018-07-06 18:37:00,1.5,9.539,8.133479,111.238778,3.45,1.012
162,214424,Summer2018,2018,           2018-07-06 19:07:00,1.5,9.42,8.157477,111.245629,3.45,1.011
163,214424,Summer2018,2018,           2018-07-06 19:37:00,1.5,9.429,8.11248,110.656152,3.45,1.01
164,214424,Summer2018,2018,           2018-07-06 20:07:00,1.5,9.143,8.159476,110.525795,3.45,1.011
165,214424,Summer2018,2018,           2018-07-06 20:37:00,1.5,9.291,8.181475,111.223835,3.45,1.011
166,214424,Summer2018,2018,           2018-07-06 21:07:00,1.5,9.475,8.139479,111.148341,3.45,1.011
167,214424,Summer2018,2018,           2018-07-06 21:37:00,1.5,9.641,8.104482,111.116079,3.45,1.01
168,214424,Summer2018,2018,           2018-07-06 22:07:00,1.5,9.742,8.088483,111.167614,3.45,1.011
169,214424,Summer2018,2018,           2018-07-06 22:37:00,1.5,9.604,8.087482,110.783845,3.45,1.011
170,214424,Summer2018,2018,           2018-07-06 23:07:00,1.5,9.65,8.088483,110.920856,3.45,1.011
171,214424,Summer2018,2018,           2018-07-06 23:37:00,1.5,9.539,8.088482,110.623368,3.45,1.011
172,214424,Summer2018,2018,           2018-07-07 00:07:00,1.5,9.374,8.11148,110.494907,3.45,1.011
173,214424,Summer2018,2018,           2018-07-07 00:37:00,1.5,9.41,8.082482,110.196156,3.45,1.01
174,214424,Summer2018,2018,           2018-07-07 01:07:00,1.5,9.457,8.079482,110.280925,3.45,1.01
175,214424,Summer2018,2018,           2018-07-07 01:37:00,1.5,9.42,8.100481,110.468355,3.45,1.012
