sensor,deployment,year,timestamp,depth,temperature
102495,Summer2018,2018,2018-07-05 16:30:00,0.4,9.782
102495,Summer2018,2018,2018-07-05 17:00:00,0.4,9.837
102495,Summer2018,2018,2018-07-05 17:30:00,0.4,9.701
102495,Summer2018,2018,2018-07-05 18:00:00,0.4,9.776
102495,Summer2018,2018,2018-07-05 18:30:00,0.4,9.719
102495,Summer2018,2018,2018-07-05 19:00:00,0.4,9.85
102495,Summer2018,2018,2018-07-05 19:30:00,0.4,9.954
102495,Summer2018,2018,2018-07-05 20:00:00,0.4,9.943
102495,Summer2018,2018,2018-07-05 20:30:00,0.4,9.926
102495,Summer2018,2018,2018-07-05 21:00:00,0.4,9.867
102495,Summer2018,2018,2018-07-05 21:30:00,0.4,9.813
102495,Summer2018,2018,2018-07-05 22:00:00,0.4,9.779
102495,Summer2018,2018,2018-07-05 22:30:00,0.4,9.739
102495,Summer2018,2018,2018-07-05 23:00:00,0.4,9.697
102495,Summer2018,2018,2018-07-05 23:30:00,0.4,9.626
102495,Summer2018,2018,2018-07-06 00:00:00,0.4,9.621
102495,Summer2018,2018,2018-07-06 00:30:00,0.4,9.594
102495,Summer2018,2018,2018-07-06 01:00:00,0.4,9.552
102495,Summer2018,2018,2018-07-06 01:30:00,0.4,9.482
102495,Summer2018,2018,2018-07-06 02:00:00,0.4,9.427
102495,Summer2018,2018,2018-07-06 02:30:00,0.4,9.407
102495,Summer2018,2018,2018-07-06 03:00:00,0.4,9.347
102495,Summer2018,2018,2018-07-06 03:30:00,0.4,9.276
102495,Summer2018,2018,2018-07-06 04:00:00,0.4,9.249
102495,Summer2018,2018,2018-07-06 04:30:00,0.4,9.206
102495,Summer2018,2018,2018-07-06 05:00:00,0.4,9.074
102495,Summer2018,2018,2018-07-06 05:30:00,0.4,9.019
102495,Summer2018,2018,2018-07-06 06:00:00,0.4,9.009
102495,Summer2018,2018,2018-07-06 06:30:00,0.4,8.892
102495,Summer2018,2018,2018-07-06 07:00:00,0.4,8.729
102495,Summer2018,2018,2018-07-06 07:30:00,0.4,8.785
102495,Summer2018,2018,2018-07-06 08:00:00,0.4,8.881
102495,Summer2018,2018,2018-07-06 08:30:00,0.4,8.942
102495,Summer2018,2018,2018-07-06 09:00:00,0.4,8.951
102495,Summer2018,2018,2018-07-06 09:30:00,0.4,8.968
102495,Summer2018,2018,2018-07-06 10:00:00,0.4,9.092
102495,Summer2018,2018,2018-07-06 10:30:00,0.4,9.202
102495,Summer2018,2018,2018-07-06 11:00:00,0.4,9.401
