Sensor,Depth,Time,Temperature
102502,6.5,7/5/18 21:30,7.503446631
102502,6.5,7/5/18 22:00,7.484320165
102502,6.5,7/5/18 22:30,7.400951293
102502,6.5,7/5/18 23:00,7.465541953
102502,6.5,7/5/18 23:30,7.400472928
102502,6.5,7/6/18 0:00,7.40207231
102502,6.5,7/6/18 0:30,7.431412403
102502,6.5,7/6/18 1:00,7.47418685
102502,6.5,7/6/18 1:30,7.463053356
102502,6.5,7/6/18 2:00,7.400840158
102502,6.5,7/6/18 2:30,7.392408402
102502,6.5,7/6/18 3:00,7.408373219
102502,6.5,7/6/18 3:30,7.444971326
102502,6.5,7/6/18 4:00,7.412958794
102502,6.5,7/6/18 4:30,7.425956986
102502,6.5,7/6/18 5:00,7.477912536
102502,6.5,7/6/18 5:30,7.392393906
102502,6.5,7/6/18 6:00,7.47068346
102502,6.5,7/6/18 6:30,7.418868364
102502,6.5,7/6/18 7:00,7.562026609
102502,6.5,7/6/18 7:30,7.622258079
102502,6.5,7/6/18 8:00,7.601722989
102502,6.5,7/6/18 8:30,7.357082605
102502,6.5,7/6/18 9:00,7.643354263
102502,6.5,7/6/18 9:30,7.828829859
102502,6.5,7/6/18 10:00,7.621035337
102502,6.5,7/6/18 10:30,7.617734424
102502,6.5,7/6/18 11:00,7.471393802
102502,6.5,7/6/18 11:30,7.5717065
102502,6.5,7/6/18 12:00,7.575944804
102502,6.5,7/6/18 12:30,7.557551564
102502,6.5,7/6/18 13:00,7.563113961
102502,6.5,7/6/18 13:30,7.672889751
102502,6.5,7/6/18 14:00,7.809580388
102502,6.5,7/6/18 14:30,7.667679524
102502,6.5,7/6/18 15:00,7.508153397
102502,6.5,7/6/18 15:30,7.415205683
102502,6.5,7/6/18 16:00,7.684233458
102502,6.5,7/6/18 16:30,7.640580075
102502,6.5,7/6/18 17:00,7.725515772
102502,6.5,7/6/18 17:30,7.666181228
102502,6.5,7/6/18 18:00,7.640087102
102502,6.5,7/6/18 18:30,7.562292406
102502,6.5,7/6/18 19:00,7.725220926
102502,6.5,7/6/18 19:30,7.710575411
102502,6.5,7/6/18 20:00,7.689168284
102502,6.5,7/6/18 20:30,7.671004786
102502,6.5,7/6/18 21:00,7.663701794
102502,6.5,7/6/18 21:30,7.611794744
102502,6.5,7/6/18 22:00,7.445879769
102502,6.5,7/6/18 22:30,7.589781041
102502,6.5,7/6/18 23:00,7.633746136
102502,6.5,7/6/18 23:30,7.735231259
102502,6.5,7/7/18 0:00,7.769168707
102502,6.5,7/7/18 0:30,7.728246731
102502,6.5,7/7/18 1:00,7.652648339
102502,6.5,7/7/18 1:30,7.685871953
102502,6.5,7/7/18 2:00,7.676775691
102502,6.5,7/7/18 2:30,7.757379137
102502,6.5,7/7/18 3:00,7.718270316
102502,6.5,7/7/18 3:30,7.700024032
102502,6.5,7/7/18 4:00,7.761342811
102502,6.5,7/7/18 4:30,7.502712106
102502,6.5,7/7/18 5:00,7.572658546
102502,6.5,7/7/18 5:30,7.645674148
102502,6.5,7/7/18 6:00,7.679999488
102502,6.5,7/7/18 6:30,7.654088615
102502,6.5,7/7/18 7:00,7.673986899
102502,6.5,7/7/18 7:30,7.677824511
102502,6.5,7/7/18 8:00,7.631310288
102502,6.5,7/7/18 8:30,7.786420758
102502,6.5,7/7/18 9:00,7.754831762
102502,6.5,7/7/18 9:30,7.726753161
102502,6.5,7/7/18 10:00,7.691217622
102502,6.5,7/7/18 10:30,7.70649598
102502,6.5,7/7/18 11:00,7.657582986
102502,6.5,7/7/18 11:30,7.695915651
102502,6.5,7/7/18 12:00,7.875273318
102502,6.5,7/7/18 12:30,7.976505222
102502,6.5,7/7/18 13:00,7.666983541
102502,6.5,7/7/18 13:30,7.661178868
102502,6.5,7/7/18 14:00,7.557682045
102502,6.5,7/7/18 14:30,7.643030446
102502,6.5,7/7/18 15:00,7.761144626
102502,6.5,7/7/18 15:30,7.683150797
102502,6.5,7/7/18 16:00,7.972612895
102502,6.5,7/7/18 16:30,7.768071434
102502,6.5,7/7/18 17:00,7.662276001
102502,6.5,7/7/18 17:30,7.821129045
102502,6.5,7/7/18 18:00,7.926549777
102502,6.5,7/7/18 18:30,7.975451149
102502,6.5,7/7/18 19:00,7.660478057
102502,6.5,7/7/18 19:30,7.613732748
102502,6.5,7/7/18 20:00,7.767075671
102502,6.5,7/7/18 20:30,7.90686741
102502,6.5,7/7/18 21:00,7.725820285
102502,6.5,7/7/18 21:30,7.761710177
102502,6.5,7/7/18 22:00,7.816454453
102502,6.5,7/7/18 22:30,7.667418531
102502,6.5,7/7/18 23:00,7.798312278
102502,6.5,7/7/18 23:30,7.866725991
102502,6.5,7/8/18 0:00,7.921806812
102502,6.5,7/8/18 0:30,7.919548959
102502,6.5,7/8/18 1:00,7.884144662
102502,6.5,7/8/18 1:30,7.800071852
102502,6.5,7/8/18 2:00,7.789311444
102502,6.5,7/8/18 2:30,7.810581039
102502,6.5,7/8/18 3:00,7.860586288
102502,6.5,7/8/18 3:30,7.843622606
102502,6.5,7/8/18 4:00,7.811538185
102502,6.5,7/8/18 4:30,7.746416297
102502,6.5,7/8/18 5:00,7.897662191
102502,6.5,7/8/18 5:30,7.912959166
102502,6.5,7/8/18 6:00,7.892735708
102502,6.5,7/8/18 6:30,7.591400033
102502,6.5,7/8/18 7:00,7.61467517
102502,6.5,7/8/18 7:30,8.010139761
102502,6.5,7/8/18 8:00,7.815647158
102502,6.5,7/8/18 8:30,8.26621718
102502,6.5,7/8/18 9:00,8.266038189
102502,6.5,7/8/18 9:30,8.137301062
102502,6.5,7/8/18 10:00,8.1390567
102502,6.5,7/8/18 10:30,8.16905331
102502,6.5,7/8/18 11:00,8.097890053
102502,6.5,7/8/18 11:30,8.082284034
102502,6.5,7/8/18 12:00,8.166523706
102502,6.5,7/8/18 12:30,8.207361508
102502,6.5,7/8/18 13:00,8.248681226
102502,6.5,7/8/18 13:30,8.324281068
102502,6.5,7/8/18 14:00,8.249963145
102502,6.5,7/8/18 14:30,8.107567246
102502,6.5,7/8/18 15:00,8.097125943
102502,6.5,7/8/18 15:30,8.231266774
102502,6.5,7/8/18 16:00,8.209944503
102502,6.5,7/8/18 16:30,8.334804091
102502,6.5,7/8/18 17:00,8.375620974
102502,6.5,7/8/18 17:30,8.351568804
102502,6.5,7/8/18 18:00,8.308867044
102502,6.5,7/8/18 18:30,8.064932664
102502,6.5,7/8/18 19:00,8.22442208
102502,6.5,7/8/18 19:30,8.33296557
102502,6.5,7/8/18 20:00,8.189580761
102502,6.5,7/8/18 20:30,8.227542089
102502,6.5,7/8/18 21:00,8.238866179
102502,6.5,7/8/18 21:30,8.110884901
102502,6.5,7/8/18 22:00,8.246654348
102502,6.5,7/8/18 22:30,8.242503869
102502,6.5,7/8/18 23:00,8.225578174
102502,6.5,7/8/18 23:30,8.290129897
102502,6.5,7/9/18 0:00,8.218288533
102502,6.5,7/9/18 0:30,8.211250517
102502,6.5,7/9/18 1:00,8.253146188
102502,6.5,7/9/18 1:30,8.262535791
102502,6.5,7/9/18 2:00,8.36594384
102502,6.5,7/9/18 2:30,8.378504796
102502,6.5,7/9/18 3:00,8.055792925
102502,6.5,7/9/18 3:30,8.0957815
102502,6.5,7/9/18 4:00,8.113240156
102502,6.5,7/9/18 4:30,8.12956761
102502,6.5,7/9/18 5:00,8.212116357
102502,6.5,7/9/18 5:30,8.2194688
102502,6.5,7/9/18 6:00,8.262545466
102502,6.5,7/9/18 6:30,8.239630478
102502,6.5,7/9/18 7:00,8.152473242
102502,6.5,7/9/18 7:30,8.123841342
102502,6.5,7/9/18 8:00,8.184274701
102502,6.5,7/9/18 8:30,8.212924154
102502,6.5,7/9/18 9:00,8.237381118
102502,6.5,7/9/18 9:30,8.35154945
102502,6.5,7/9/18 10:00,8.081302324
102502,6.5,7/9/18 10:30,8.036232404
102502,6.5,7/9/18 11:00,8.199312699
102502,6.5,7/9/18 11:30,8.192458727
102502,6.5,7/9/18 12:00,8.253373549
102502,6.5,7/9/18 12:30,8.175752219
102502,6.5,7/9/18 13:00,8.267808747
102502,6.5,7/9/18 13:30,8.288610829
102502,6.5,7/9/18 14:00,8.228156419
102502,6.5,7/9/18 14:30,8.187704045
102502,6.5,7/9/18 15:00,8.207066447
102502,6.5,7/9/18 15:30,8.300724792
102502,6.5,7/9/18 16:00,8.334436386
102502,6.5,7/9/18 16:30,8.308097806
102502,6.5,7/9/18 17:00,8.304619317
102502,6.5,7/9/18 17:30,8.218738389
102502,6.5,7/9/18 18:00,8.24303598
102502,6.5,7/9/18 18:30,8.202635721
102502,6.5,7/9/18 19:00,8.216402046
102502,6.5,7/9/18 19:30,8.23385472
102502,6.5,7/9/18 20:00,8.366693811
102502,6.5,7/9/18 20:30,8.302166489
102502,6.5,7/9/18 21:00,8.253305824
102502,6.5,7/9/18 21:30,8.328891819
102502,6.5,7/9/18 22:00,8.164439089
102502,6.5,7/9/18 22:30,8.24070437
102502,6.5,7/9/18 23:00,8.356213671
102502,6.5,7/9/18 23:30,8.206490838
102502,6.5,7/10/18 0:00,8.227005156
102502,6.5,7/10/18 0:30,8.298900907
102502,6.5,7/10/18 1:00,8.260150884
102502,6.5,7/10/18 1:30,8.278224199
102502,6.5,7/10/18 2:00,8.145179712
102502,6.5,7/10/18 2:30,8.235199489
102502,6.5,7/10/18 3:00,8.284343916
102502,6.5,7/10/18 3:30,8.292722965
102502,6.5,7/10/18 4:00,8.257988513
102502,6.5,7/10/18 4:30,8.259023741
102502,6.5,7/10/18 5:00,8.323463426
102502,6.5,7/10/18 5:30,8.391859628
102502,6.5,7/10/18 6:00,8.162431866
102502,6.5,7/10/18 6:30,8.261577957
102502,6.5,7/10/18 7:00,8.233835371
102502,6.5,7/10/18 7:30,7.89065683
102502,6.5,7/10/18 8:00,8.31838827
102502,6.5,7/10/18 8:30,8.269110063
102502,6.5,7/10/18 9:00,8.046653322
102502,6.5,7/10/18 9:30,8.225897431
102502,6.5,7/10/18 10:00,18.15889663
102502,6.5,7/10/18 10:30,8.774839718
102502,6.5,7/10/18 11:00,7.834268335
102502,6.5,7/10/18 11:30,8.660779337
102502,6.5,7/10/18 12:00,8.949356922
