Sensor,Depth ,Time,Temperature
102501,11.5,7/5/18 21:00,6.244313414
102501,11.5,7/5/18 21:30,6.276510795
102501,11.5,7/5/18 22:00,6.337104289
102501,11.5,7/5/18 22:30,6.323601885
102501,11.5,7/5/18 23:00,6.268520979
102501,11.5,7/5/18 23:30,6.254996329
102501,11.5,7/6/18 0:00,6.228774106
102501,11.5,7/6/18 0:30,6.28256651
102501,11.5,7/6/18 1:00,6.291325441
102501,11.5,7/6/18 1:30,6.250182546
102501,11.5,7/6/18 2:00,6.24460472
102501,11.5,7/6/18 2:30,6.225163925
102501,11.5,7/6/18 3:00,6.211778749
102501,11.5,7/6/18 3:30,6.237092886
102501,11.5,7/6/18 4:00,6.236515056
102501,11.5,7/6/18 4:30,6.255669689
102501,11.5,7/6/18 5:00,6.313772609
102501,11.5,7/6/18 5:30,6.341842388
102501,11.5,7/6/18 6:00,6.3225368
102501,11.5,7/6/18 6:30,6.232073906
102501,11.5,7/6/18 7:00,6.279796538
102501,11.5,7/6/18 7:30,6.261882782
102501,11.5,7/6/18 8:00,6.209754046
102501,11.5,7/6/18 8:30,6.276997925
102501,11.5,7/6/18 9:00,6.267947894
102501,11.5,7/6/18 9:30,6.280240688
102501,11.5,7/6/18 10:00,6.249561724
102501,11.5,7/6/18 10:30,6.275039858
102501,11.5,7/6/18 11:00,6.335002726
102501,11.5,7/6/18 11:30,6.356123801
102501,11.5,7/6/18 12:00,6.337825509
102501,11.5,7/6/18 12:30,6.277165077
102501,11.5,7/6/18 13:00,6.284672653
102501,11.5,7/6/18 13:30,6.264490295
102501,11.5,7/6/18 14:00,6.234829326
102501,11.5,7/6/18 14:30,6.350941372
102501,11.5,7/6/18 15:00,6.426456942
102501,11.5,7/6/18 15:30,6.357016999
102501,11.5,7/6/18 16:00,6.379347423
102501,11.5,7/6/18 16:30,6.40476464
102501,11.5,7/6/18 17:00,6.380484269
102501,11.5,7/6/18 17:30,6.342998261
102501,11.5,7/6/18 18:00,6.383636881
102501,11.5,7/6/18 18:30,6.420461732
102501,11.5,7/6/18 19:00,6.42960983
102501,11.5,7/6/18 19:30,6.365705454
102501,11.5,7/6/18 20:00,6.324514135
102501,11.5,7/6/18 20:30,6.337285788
102501,11.5,7/6/18 21:00,6.323630542
102501,11.5,7/6/18 21:30,6.325526686
102501,11.5,7/6/18 22:00,6.375545215
102501,11.5,7/6/18 22:30,6.424546111
102501,11.5,7/6/18 23:00,6.311723671
102501,11.5,7/6/18 23:30,6.324547568
102501,11.5,7/7/18 0:00,6.307821634
102501,11.5,7/7/18 0:30,6.2889566
102501,11.5,7/7/18 1:00,6.272967181
102501,11.5,7/7/18 1:30,6.277446848
102501,11.5,7/7/18 2:00,6.323138596
102501,11.5,7/7/18 2:30,6.317813194
102501,11.5,7/7/18 3:00,6.315582749
102501,11.5,7/7/18 3:30,6.32769508
102501,11.5,7/7/18 4:00,6.305935102
102501,11.5,7/7/18 4:30,6.271505805
102501,11.5,7/7/18 5:00,6.274404682
102501,11.5,7/7/18 5:30,6.273177314
102501,11.5,7/7/18 6:00,6.278640795
102501,11.5,7/7/18 6:30,6.280851991
102501,11.5,7/7/18 7:00,6.278464091
102501,11.5,7/7/18 7:30,6.286673734
102501,11.5,7/7/18 8:00,6.290260416
102501,11.5,7/7/18 8:30,6.313003659
102501,11.5,7/7/18 9:00,6.331305905
102501,11.5,7/7/18 9:30,6.363661099
102501,11.5,7/7/18 10:00,6.260817812
102501,11.5,7/7/18 10:30,6.271142849
102501,11.5,7/7/18 11:00,6.282499648
102501,11.5,7/7/18 11:30,6.31445559
102501,11.5,7/7/18 12:00,6.280264567
102501,11.5,7/7/18 12:30,6.277208059
102501,11.5,7/7/18 13:00,6.317698567
102501,11.5,7/7/18 13:30,6.352293098
102501,11.5,7/7/18 14:00,6.355025217
