"","Sensor","deployment","year","timestamp","depth","Temperature","PAR","Acceleration.X","Acceleration.Y","Acceleration.Z","tilt","Battery","flag_Y","flag_Z","flag_X","flag_T"
"51",695220,"Summer2018",2018,2018-07-04 13:07:00,9,6.515,7.86144,1.136,-0.073,0.287,-1.50662399785534,3.47,"n","n","n","n"
"52",695220,"Summer2018",2018,2018-07-04 13:37:00,9,6.515,5.2289,1.139,-0.117,0.255,-1.46843366848084,3.47,"n","n","n","n"
"53",695220,"Summer2018",2018,2018-07-04 14:07:00,9,6.554,8.81873,1.136,-0.093,0.254,-1.48911228877486,3.47,"n","n","n","n"
"54",695220,"Summer2018",2018,2018-07-04 14:37:00,9,6.515,9.40828,1.136,-0.097,0.246,-1.48561561925795,3.47,"n","n","n","n"
"55",695220,"Summer2018",2018,2018-07-04 15:07:00,9,6.602,26.4848,1.128,-0.116,0.259,-1.46831967887595,3.47,"n","n","n","n"
"56",695220,"Summer2018",2018,2018-07-04 15:37:00,9,6.602,10.68661,1.142,-0.097,0.255,-1.48606100887173,3.47,"n","n","n","n"
"57",695220,"Summer2018",2018,2018-07-04 16:07:00,9,6.68,6.72029,1.136,-0.119,0.249,-1.46642346647491,3.47,"n","n","n","n"
"58",695220,"Summer2018",2018,2018-07-04 16:37:00,9,6.651,9.27695,1.143,-0.084,0.224,-1.49743739155666,3.47,"n","n","n","n"
"59",695220,"Summer2018",2018,2018-07-04 17:07:00,9,6.289,12.75296,1.142,-0.076,0.222,-1.50434440154,3.47,"n","n","n","n"
"60",695220,"Summer2018",2018,2018-07-04 17:37:00,9,6.417,1.82585,1.144,-0.09,0.024,-1.49228670167743,3.47,"n","o","n","n"
"61",695220,"Summer2018",2018,2018-07-04 18:07:00,9,6.612,2.48545,1.136,-0.084,0.232,-1.49698699082235,3.47,"n","n","n","n"
"62",695220,"Summer2018",2018,2018-07-04 18:37:00,9,6.612,2.00097,1.144,-0.082,0.224,-1.49924038394291,3.47,"n","n","n","n"
"63",695220,"Summer2018",2018,2018-07-04 19:07:00,9,6.475,1.34429,1.142,-0.087,0.233,-1.49476105897723,3.47,"n","n","n","n"
"64",695220,"Summer2018",2018,2018-07-04 19:37:00,9,6.446,1.52232,1.134,-0.087,0.247,-1.49422674181408,3.47,"n","n","n","n"
"65",695220,"Summer2018",2018,2018-07-04 20:07:00,9,6.475,0.13601,1.136,-0.087,0.238,-1.49436102252015,3.47,"n","n","n","n"
"69",695220,"Summer2018",2018,2018-07-04 22:07:00,9,6.495,0.10974,1.136,-0.077,0.209,-1.50311815588017,3.47,"n","n","n","n"
"71",695220,"Summer2018",2018,2018-07-04 23:07:00,9,6.446,0.50666,1.136,-0.073,0.215,-1.50662399785534,3.46,"n","n","n","n"
"72",695220,"Summer2018",2018,2018-07-04 23:37:00,9,6.466,0.32279,1.139,-0.082,0.264,-1.49892734472398,3.46,"n","n","n","n"
"75",695220,"Summer2018",2018,2018-07-05 01:07:00,9,6.563,0.20021,1.136,-0.08,0.28,-1.50048986267627,3.46,"n","n","n","n"
"77",695220,"Summer2018",2018,2018-07-05 02:07:00,9,6.534,0.83938,1.132,-0.077,0.227,-1.5028797438328,3.46,"n","n","n","n"
"84",695220,"Summer2018",2018,2018-07-05 05:37:00,9,6.515,1.11081,1.136,-0.08,0.238,-1.50048986267627,3.46,"n","n","n","n"
"85",695220,"Summer2018",2018,2018-07-05 06:07:00,9,6.387,0.59714,1.139,-0.079,0.24,-1.50154814147001,3.46,"n","n","n","n"
"86",695220,"Summer2018",2018,2018-07-05 06:37:00,9,6.417,1.63031,1.144,-0.089,0.288,-1.49315550986987,3.46,"n","n","n","n"
"87",695220,"Summer2018",2018,2018-07-05 07:07:00,9,6.466,4.40586,1.136,-0.093,0.291,-1.48911228877486,3.46,"n","n","n","n"
"88",695220,"Summer2018",2018,2018-07-05 07:37:00,9,6.515,3.7988,1.137,-0.08,0.222,-1.50055149443874,3.46,"n","n","n","n"
"89",695220,"Summer2018",2018,2018-07-05 08:07:00,9,6.554,6.71737,1.134,-0.082,0.236,-1.49861155931452,3.46,"n","n","n","n"
"90",695220,"Summer2018",2018,2018-07-05 08:37:00,9,6.593,6.56268,1.136,-0.09,0.24,-1.4917361099999,3.46,"n","n","n","n"
"91",695220,"Summer2018",2018,2018-07-05 09:07:00,9,6.505,10.04453,1.136,-0.1,0.3,-1.4829944819869,3.46,"n","n","n","n"
"92",695220,"Summer2018",2018,2018-07-05 09:37:00,9,6.417,14.06631,1.136,-0.105,0.288,-1.4786286238969,3.46,"n","n","n","n"
"93",695220,"Summer2018",2018,2018-07-05 10:07:00,9,6.485,17.27381,1.132,-0.089,0.236,-1.49233581842021,3.46,"n","n","n","n"
"94",695220,"Summer2018",2018,2018-07-05 10:37:00,9,6.456,21.0767,1.132,-0.113,0.313,-1.47130260651572,3.46,"n","o","n","n"
"95",695220,"Summer2018",2018,2018-07-05 11:07:00,9,6.456,21.06211,1.134,-0.113,0.255,-1.47147692776024,3.46,"n","n","n","n"
"96",695220,"Summer2018",2018,2018-07-05 11:37:00,9,6.456,31.44344,1.144,-0.116,0.319,-1.46974311305625,3.46,"n","o","n","n"
"97",695220,"Summer2018",2018,2018-07-05 12:07:00,9,6.534,6.75823,1.142,-0.109,0.305,-1.47563800888483,3.46,"n","o","n","n"
"98",695220,"Summer2018",2018,2018-07-05 12:37:00,9,6.515,3.3581,1.132,-0.079,0.228,-1.50112130860371,3.46,"n","n","n","n"
"99",695220,"Summer2018",2018,2018-07-05 13:07:00,9,6.563,2.09144,1.139,-0.08,0.233,-1.50067443489729,3.46,"n","n","n","n"
"100",695220,"Summer2018",2018,2018-07-05 13:37:00,9,6.456,4.7094,1.144,-0.072,0.262,-1.50794216636933,3.46,"n","n","n","n"
"101",695220,"Summer2018",2018,2018-07-05 14:07:00,9,6.417,10.81503,1.142,-0.097,0.288,-1.48606100887173,3.45,"n","n","n","n"
"102",695220,"Summer2018",2018,2018-07-05 14:37:00,9,6.505,5.83888,1.136,-0.089,0.275,-1.49261096133688,3.46,"n","n","n","n"
"103",695220,"Summer2018",2018,2018-07-05 15:07:00,9,6.544,3.47192,1.139,-0.097,0.28,-1.48583889639488,3.45,"n","n","n","n"
"104",695220,"Summer2018",2018,2018-07-05 15:37:00,9,6.426,0.12725,1.144,-0.089,0.239,-1.49315550986987,3.45,"n","n","n","n"
"105",695220,"Summer2018",2018,2018-07-05 16:07:00,9,6.338,4.43797,1.134,-0.082,0.239,-1.49861155931452,3.45,"n","n","n","n"
"106",695220,"Summer2018",2018,2018-07-05 16:37:00,9,6.563,5.1034,1.139,-0.089,0.241,-1.49281605802519,3.45,"n","n","n","n"
"107",695220,"Summer2018",2018,2018-07-05 17:07:00,9,6.515,3.00204,1.136,-0.097,0.24,-1.48561561925795,3.45,"n","n","n","n"
"108",695220,"Summer2018",2018,2018-07-05 17:37:00,9,6.593,1.00866,1.136,-0.089,0.303,-1.49261096133688,3.45,"n","o","n","n"
"109",695220,"Summer2018",2018,2018-07-05 18:07:00,9,6.397,1.63031,1.136,-0.1,0.263,-1.4829944819869,3.45,"n","n","n","n"
"110",695220,"Summer2018",2018,2018-07-05 18:37:00,9,6.456,3.69665,1.14,-0.08,0.232,-1.50073574415644,3.45,"n","n","n","n"
"111",695220,"Summer2018",2018,2018-07-05 19:07:00,9,6.407,1.56318,1.132,-0.073,0.233,-1.50639786582441,3.45,"n","n","n","n"
"112",695220,"Summer2018",2018,2018-07-05 19:37:00,9,6.544,1.99805,1.139,-0.089,0.294,-1.49281605802519,3.45,"n","n","n","n"
"116",695220,"Summer2018",2018,2018-07-05 21:37:00,9,6.524,0.08347,1.136,-0.079,0.231,-1.50136585411178,3.45,"n","n","n","n"
"118",695220,"Summer2018",2018,2018-07-05 22:37:00,9,6.524,0.83354,1.134,-0.08,0.236,-1.50036627466988,3.45,"n","n","n","n"
"119",695220,"Summer2018",2018,2018-07-05 23:07:00,9,6.475,0.44537,1.136,-0.093,0.289,-1.48911228877486,3.45,"n","n","n","n"
"120",695220,"Summer2018",2018,2018-07-05 23:37:00,9,6.515,1.6128,1.127,-0.077,0.236,-1.50257935989654,3.45,"n","n","n","n"
"121",695220,"Summer2018",2018,2018-07-06 00:07:00,9,6.417,0.21481,1.142,-0.092,0.279,-1.49040950951217,3.45,"n","n","n","n"
"125",695220,"Summer2018",2018,2018-07-06 02:07:00,9,6.534,0.83938,1.132,-0.08,0.23,-1.50024225212322,3.45,"n","n","n","n"
"126",695220,"Summer2018",2018,2018-07-06 02:37:00,9,6.397,0.04845,1.132,-0.077,0.224,-1.5028797438328,3.45,"n","n","n","n"
"127",695220,"Summer2018",2018,2018-07-06 03:07:00,9,6.485,0.28777,1.132,-0.079,0.233,-1.50112130860371,3.45,"n","n","n","n"
"130",695220,"Summer2018",2018,2018-07-06 04:37:00,9,6.485,0.21189,1.134,-0.05,0.204,-1.52673315534334,3.45,"n","n","n","n"
"131",695220,"Summer2018",2018,2018-07-06 05:07:00,9,6.515,0.08931,1.151,-0.05,0.195,-1.52738313452894,3.45,"n","n","n","n"
"132",695220,"Summer2018",2018,2018-07-06 05:37:00,9,6.397,0.07763,1.137,-0.056,0.208,-1.52158367580223,3.45,"n","n","n","n"
"133",695220,"Summer2018",2018,2018-07-06 06:07:00,9,6.515,0.52126,1.12,-0.049,0.192,-1.52707420819331,3.45,"n","n","n","n"
"134",695220,"Summer2018",2018,2018-07-06 06:37:00,9,6.348,0.78684,1.129,-0.045,0.176,-1.53095913241916,3.45,"n","n","n","n"
"135",695220,"Summer2018",2018,2018-07-06 07:07:00,9,6.397,3.72584,1.144,-0.042,0.184,-1.53409952161129,3.45,"n","n","n","n"
"136",695220,"Summer2018",2018,2018-07-06 07:37:00,9,6.544,3.90387,1.134,-0.052,0.191,-1.52497304739465,3.45,"n","n","n","n"
"137",695220,"Summer2018",2018,2018-07-06 08:07:00,9,6.515,5.36315,1.131,-0.048,0.214,-1.52838146188338,3.45,"n","n","n","n"
"138",695220,"Summer2018",2018,2018-07-06 08:37:00,9,6.554,6.59771,1.136,-0.056,0.227,-1.52154042481057,3.45,"n","n","n","n"
"139",695220,"Summer2018",2018,2018-07-06 09:07:00,9,6.602,11.90949,1.142,-0.061,0.238,-1.51743197943824,3.45,"n","n","n","n"
"140",695220,"Summer2018",2018,2018-07-06 09:37:00,9,6.495,14.39027,1.134,-0.063,0.231,-1.51529782154918,3.45,"n","n","n","n"
"141",695220,"Summer2018",2018,2018-07-06 10:07:00,9,6.417,18.75353,1.136,-0.064,0.259,-1.51451779050613,3.45,"n","n","n","n"
"142",695220,"Summer2018",2018,2018-07-06 10:37:00,9,6.25,21.17885,1.136,-0.061,0.228,-1.51715066452129,3.45,"n","n","n","n"
"143",695220,"Summer2018",2018,2018-07-06 11:07:00,9,6.602,22.98252,1.136,-0.049,0.207,-1.52768924466101,3.45,"n","n","n","n"
"144",695220,"Summer2018",2018,2018-07-06 11:37:00,9,6.554,26.72121,1.132,-0.044,0.204,-1.53194662592634,3.45,"n","n","n","n"
"145",695220,"Summer2018",2018,2018-07-06 12:07:00,9,6.69,29.69522,1.136,-0.056,0.224,-1.52154042481057,3.45,"n","n","n","n"
"146",695220,"Summer2018",2018,2018-07-06 12:37:00,9,6.534,32.75096,1.136,-0.052,0.214,-1.52505360959469,3.45,"n","n","n","n"
"147",695220,"Summer2018",2018,2018-07-06 13:07:00,9,6.446,8.79247,1.136,-0.063,0.231,-1.51539533020276,3.45,"n","n","n","n"
"148",695220,"Summer2018",2018,2018-07-06 13:37:00,9,6.407,6.9421,1.136,-0.079,0.243,-1.50136585411178,3.45,"n","n","n","n"
